#chromosome	start	end	gene_name
CP000393.1	705273	706340	Tery_0447
CP000393.1	707465	709603	Tery_0448
CP000393.1	709826	710833	Tery_0449
CP000393.1	711457	713475	Tery_0450
CP000393.1	716384	717634	Tery_0451
CP000393.1	718330	718596	Tery_0452
CP000393.1	725804	726748	Tery_0458
CP000393.1	729656	731518	Tery_0460
CP000393.1	731760	733625	Tery_0461
CP000393.1	733867	735744	Tery_0462
CP000393.1	735970	737883	Tery_0463
CP000393.1	738642	739301	Tery_0465
CP000393.1	739494	744134	Tery_0466
CP000393.1	747702	748271	Tery_0469
CP000393.1	748560	749348	Tery_0470
CP000393.1	758513	759103	Tery_0479
CP000393.1	760873	770310	Tery_0481
CP000393.1	771178	771813	Tery_0482
CP000393.1	772170	774218	Tery_0483
CP000393.1	774747	775223	Tery_0484
CP000393.1	775464	778196	Tery_0485
CP000393.1	793660	795066	Tery_0495
CP000393.1	800556	802199	Tery_0500
CP000393.1	803667	804314	Tery_0502
CP000393.1	804736	805560	Tery_0503
CP000393.1	806353	808116	Tery_0504
CP000393.1	812932	814077	Tery_0510
CP000393.1	814085	814846	Tery_0511
CP000393.1	815307	815870	Tery_0512
CP000393.1	826613	827146	Tery_0522
CP000393.1	827206	828897	Tery_0523
CP000393.1	842842	843702	Tery_0532
CP000393.1	844596	845066	Tery_0533
CP000393.1	845869	846687	Tery_0534
CP000393.1	847091	847798	Tery_0535
CP000393.1	850299	852104	Tery_0537
CP000393.1	852585	853763	Tery_0538
CP000393.1	855613	855783	Tery_0542
CP000393.1	855972	858584	Tery_0543
CP000393.1	858851	860560	Tery_0544
CP000393.1	861724	862257	Tery_0545
CP000393.1	862472	865609	Tery_0546
CP000393.1	868419	868709	Tery_0552
CP000393.1	869671	869743	Tery_R0006
CP000393.1	871952	873634	Tery_0555
CP000393.1	874239	875069	Tery_0556
CP000393.1	875083	875631	Tery_0557
CP000393.1	875936	877123	Tery_0558
CP000393.1	882852	883628	Tery_0564
CP000393.1	924892	925005	Tery_0574
CP000393.1	926399	927370	Tery_0576
CP000393.1	931529	932113	Tery_0580
CP000393.1	936923	938272	Tery_0584
CP000393.1	938282	938977	Tery_0585
CP000393.1	940019	941476	Tery_0586
CP000393.1	947925	949313	Tery_0590
CP000393.1	952466	953506	Tery_0592
CP000393.1	955170	955334	Tery_0594
CP000393.1	955607	957274	Tery_0595
CP000393.1	958283	958738	Tery_0596
CP000393.1	973082	974287	Tery_0602
CP000393.1	981336	984209	Tery_0607
CP000393.1	986538	987218	Tery_0609
CP000393.1	989491	989970	Tery_0611
CP000393.1	1011270	1011488	Tery_0622
CP000393.1	1012706	1013788	Tery_0623
CP000393.1	1027704	1029122	Tery_0627
CP000393.1	1029386	1030117	Tery_0628
CP000393.1	1031502	1032680	Tery_0631
CP000393.1	1033514	1033714	Tery_0632
CP000393.1	1041863	1042810	Tery_0639
CP000393.1	1044189	1045154	Tery_0641
CP000393.1	1049819	1051168	Tery_0643
CP000393.1	1060928	1062169	Tery_0650
CP000393.1	1063223	1063879	Tery_0651
CP000393.1	1067190	1067384	Tery_0654
CP000393.1	1068070	1068591	Tery_0655
CP000393.1	1074302	1075885	Tery_0659
CP000393.1	1076583	1078646	Tery_0660
CP000393.1	1086982	1089591	Tery_0664
CP000393.1	1094074	1096749	Tery_0666
CP000393.1	1098292	1098864	Tery_0668
CP000393.1	1101344	1101442	Tery_0670
CP000393.1	1105112	1105870	Tery_0675
CP000393.1	1108732	1109067	Tery_0677
CP000393.1	1109390	1109647	Tery_0678
CP000393.1	1109684	1110385	Tery_0679
CP000393.1	1110563	1111246	Tery_0680
CP000393.1	1121932	1122537	Tery_0686
CP000393.1	1123316	1123678	Tery_0687
CP000393.1	1129992	1130219	Tery_0695
CP000393.1	1137030	1138022	Tery_0701
CP000393.1	1138145	1139647	Tery_0702
CP000393.1	1139656	1141056	Tery_0703
CP000393.1	1141057	1141581	Tery_0704
CP000393.1	1141614	1141853	Tery_0705
CP000393.1	1144783	1145628	Tery_0708
CP000393.1	1146046	1147389	Tery_0709
CP000393.1	1150922	1152034	Tery_0712
CP000393.1	1152360	1152722	Tery_0713
CP000393.1	1154358	1157420	Tery_0714
CP000393.1	1157941	1161882	Tery_0715
CP000393.1	1162180	1162662	Tery_0716
CP000393.1	1162704	1163051	Tery_0717
CP000393.1	1163597	1164763	Tery_0718
CP000393.1	1165895	1167805	Tery_0721
CP000393.1	1168841	1169767	Tery_0722
CP000393.1	1170383	1171918	Tery_0723
CP000393.1	1172915	1173760	Tery_0724
CP000393.1	1175074	1175319	Tery_0726
CP000393.1	1175476	1177374	Tery_0727
CP000393.1	1178080	1179156	Tery_0728
CP000393.1	1181432	1182541	Tery_0731
CP000393.1	1183943	1184485	Tery_0733
CP000393.1	1187125	1189152	Tery_0735
CP000393.1	1198130	1198312	Tery_0741
CP000393.1	1199263	1200468	Tery_0742
CP000393.1	1212925	1213011	Tery_R0007
CP000393.1	1219601	1220023	Tery_0761
CP000393.1	1220571	1221530	Tery_0762
CP000393.1	1227168	1228079	Tery_0766
CP000393.1	1228281	1229516	Tery_0767
CP000393.1	1230078	1230776	Tery_0768
CP000393.1	1240296	1240586	Tery_0776
CP000393.1	1253934	1254506	Tery_0786
CP000393.1	1254934	1255155	Tery_0787
CP000393.1	1255202	1255489	Tery_0788
CP000393.1	1255684	1255911	Tery_0789
CP000393.1	1266310	1267314	Tery_0799
CP000393.1	1267524	1269053	Tery_0800
CP000393.1	1269287	1270315	Tery_0801
CP000393.1	1279953	1280891	Tery_0804
CP000393.1	1282029	1282319	Tery_0806
CP000393.1	1282672	1283964	Tery_0807
CP000393.1	1286186	1287082	Tery_0811
CP000393.1	1289781	1291256	Tery_0813
CP000393.1	1297259	1298641	Tery_0817
CP000393.1	1299130	1299747	Tery_0819
CP000393.1	1299865	1300983	Tery_0820
CP000393.1	1302231	1302578	Tery_0822
CP000393.1	1303103	1305283	Tery_0823
CP000393.1	1305631	1306536	Tery_0824
CP000393.1	1306595	1307410	Tery_0825
CP000393.1	1312665	1313972	Tery_0827
CP000393.1	1318026	1318814	Tery_0830
CP000393.1	1318857	1319852	Tery_0831
CP000393.1	1320189	1322276	Tery_0832
CP000393.1	1330521	1331741	Tery_0837
CP000393.1	1332219	1333871	Tery_0838
CP000393.1	1337189	1337797	Tery_0843
CP000393.1	1337820	1338695	Tery_0844
CP000393.1	1339201	1339905	Tery_0845
CP000393.1	1340262	1340720	Tery_0846
CP000393.1	1341178	1343412	Tery_0847
CP000393.1	1343707	1343889	Tery_0848
CP000393.1	1343991	1344563	Tery_0849
CP000393.1	1344655	1344795	Tery_0850
CP000393.1	1357898	1359337	Tery_0858
CP000393.1	1359705	1361627	Tery_0859
CP000393.1	1364634	1364843	Tery_0861
CP000393.1	1365968	1368049	Tery_0863
CP000393.1	1369252	1370169	Tery_0865
CP000393.1	1384183	1384845	Tery_0871
CP000393.1	1395950	1399156	Tery_0880
CP000393.1	1401369	1402571	Tery_0882
CP000393.1	1419001	1419309	Tery_0895
CP000393.1	1419416	1419658	Tery_0896
CP000393.1	1419747	1419899	Tery_0897
CP000393.1	1419957	1420268	Tery_0898
CP000393.1	1420322	1420510	Tery_0899
CP000393.1	1420682	1420915	Tery_0900
CP000393.1	1424443	1429596	Tery_0904
CP000393.1	1439019	1441514	Tery_0910
CP000393.1	1446531	1447538	Tery_0913
CP000393.1	1450074	1451684	Tery_0918
CP000393.1	1455460	1456596	Tery_0921
CP000393.1	1457516	1457776	Tery_0923
CP000393.1	1460342	1460470	Tery_0927
CP000393.1	1461792	1464824	Tery_0929
CP000393.1	1466317	1466853	Tery_0930
CP000393.1	1468297	1468482	Tery_0932
CP000393.1	1469683	1470186	Tery_0934
CP000393.1	1470233	1470976	Tery_0935
CP000393.1	1470979	1471278	Tery_0936
CP000393.1	1471755	1473455	Tery_0937
CP000393.1	1474632	1477691	Tery_0938
CP000393.1	1488276	1489448	Tery_0944
CP000393.1	1491215	1491544	Tery_0945
CP000393.1	1502663	1503307	Tery_0953
CP000393.1	1503514	1504245	Tery_0954
CP000393.1	1509381	1510454	Tery_0957
CP000393.1	1514703	1515035	Tery_0961
CP000393.1	1518214	1518468	Tery_0964
CP000393.1	1534516	1535817	Tery_0974
CP000393.1	1543881	1544885	Tery_0978
CP000393.1	1545005	1545634	Tery_0979
CP000393.1	1545701	1546360	Tery_0980
CP000393.1	1547067	1547372	Tery_0982
CP000393.1	1547518	1548006	Tery_0983
CP000393.1	1548092	1548631	Tery_0984
CP000393.1	1552440	1553297	Tery_0987
CP000393.1	1553319	1553792	Tery_0988
CP000393.1	1557475	1557855	Tery_0991
CP000393.1	1558743	1559246	Tery_0993
CP000393.1	1559925	1560536	Tery_0995
CP000393.1	1561195	1561689	Tery_0996
CP000393.1	1561761	1562300	Tery_0997
CP000393.1	1562383	1562916	Tery_0998
CP000393.1	1564055	1565539	Tery_1000
CP000393.1	1566751	1567509	Tery_1002
CP000393.1	1575770	1576003	Tery_1010
CP000393.1	1576068	1577666	Tery_1011
CP000393.1	1587407	1591402	Tery_1019
CP000393.1	1591706	1593103	Tery_1020
CP000393.1	1594183	1594482	Tery_1021
CP000393.1	1598452	1599138	Tery_1024
CP000393.1	1604273	1604758	Tery_1028
CP000393.1	1604765	1605049	Tery_1029
CP000393.1	1605057	1606238	Tery_1030
CP000393.1	1619340	1621193	Tery_1036
CP000393.1	1631177	1631728	Tery_1041
CP000393.1	1636298	1636651	Tery_1046
CP000393.1	1636808	1638328	Tery_1047
CP000393.1	1638481	1638831	Tery_1048
CP000393.1	1643890	1644078	Tery_1050
CP000393.1	1644600	1645232	Tery_1051
CP000393.1	1645329	1645484	Tery_1052
CP000393.1	1647640	1648356	Tery_1053
CP000393.1	1654059	1655711	Tery_1058
CP000393.1	1661572	1662207	Tery_1062
CP000393.1	1662563	1662811	Tery_1063
CP000393.1	1665756	1666877	Tery_1065
CP000393.1	1671148	1671966	Tery_1067
CP000393.1	1680863	1681228	Tery_1071
CP000393.1	1681221	1681559	Tery_1072
CP000393.1	1683870	1687463	Tery_1073
CP000393.1	1692630	1693406	Tery_1076
CP000393.1	1694036	1695550	Tery_1077
CP000393.1	1695936	1696739	Tery_1078
CP000393.1	1699322	1699552	Tery_1081
CP000393.1	1703788	1704072	Tery_1085
CP000393.1	1707587	1709560	Tery_1090
CP000393.1	1709719	1711734	Tery_1091
CP000393.1	1712154	1715477	Tery_1092
CP000393.1	1715631	1719581	Tery_1093
CP000393.1	1726892	1727728	Tery_1098
CP000393.1	1730081	1730512	Tery_1100
CP000393.1	1731395	1735918	Tery_1102
CP000393.1	1736814	1737599	Tery_1103
CP000393.1	1738000	1738806	Tery_1104
CP000393.1	1739339	1740091	Tery_1105
CP000393.1	1740339	1741796	Tery_1106
CP000393.1	1743770	1744945	Tery_1108
CP000393.1	1745214	1745681	Tery_1109
CP000393.1	1753871	1756033	Tery_1114
CP000393.1	1758177	1758362	Tery_1116
CP000393.1	1760505	1761014	Tery_1118
CP000393.1	1761243	1762259	Tery_1119
CP000393.1	1762285	1763076	Tery_1120
CP000393.1	1766406	1766873	Tery_1123
CP000393.1	1768286	1768873	Tery_1124
CP000393.1	1772579	1773457	Tery_1126
CP000393.1	1774989	1775900	Tery_1127
CP000393.1	1782421	1783974	Tery_1128
CP000393.1	1784286	1785884	Tery_1129
CP000393.1	1785909	1786274	Tery_1130
CP000393.1	1786261	1786851	Tery_1131
CP000393.1	1786867	1788537	Tery_1132
CP000393.1	1789540	1789920	Tery_1134
CP000393.1	1790156	1791298	Tery_1135
CP000393.1	1792376	1792858	Tery_1136
CP000393.1	1792916	1793584	Tery_1137
CP000393.1	1796113	1796532	Tery_1139
CP000393.1	1798046	1798495	Tery_1141
CP000393.1	1801211	1802377	Tery_1143
CP000393.1	1804103	1804957	Tery_1145
CP000393.1	1805346	1805720	Tery_1146
CP000393.1	1805868	1806614	Tery_1147
CP000393.1	1806617	1806856	Tery_1148
CP000393.1	1807420	1807779	Tery_1149
CP000393.1	1812931	1813464	Tery_1154
CP000393.1	1813694	1814017	Tery_1155
CP000393.1	1814647	1814958	Tery_1157
CP000393.1	1815804	1818287	Tery_1158
CP000393.1	1819038	1820042	Tery_1159
CP000393.1	1820154	1820813	Tery_1160
CP000393.1	1820973	1821791	Tery_1161
CP000393.1	1822341	1822685	Tery_1162
CP000393.1	1823465	1824130	Tery_1163
CP000393.1	1824405	1824599	Tery_1164
CP000393.1	1824692	1825762	Tery_1165
CP000393.1	1829938	1830477	Tery_1169
CP000393.1	1830936	1831820	Tery_1170
CP000393.1	1833562	1833774	Tery_1172
CP000393.1	1840227	1840373	Tery_1177
CP000393.1	1849484	1850875	Tery_1180
CP000393.1	1851088	1852776	Tery_1181
CP000393.1	1852807	1853136	Tery_1182
CP000393.1	1853302	1854318	Tery_1183
CP000393.1	1854403	1855686	Tery_1184
CP000393.1	1855867	1857660	Tery_1185
CP000393.1	1857687	1858649	Tery_1186
CP000393.1	1858962	1860110	Tery_1187
CP000393.1	1860117	1862237	Tery_1188
CP000393.1	1862476	1863948	Tery_1189
CP000393.1	1863951	1864163	Tery_1190
CP000393.1	1864279	1864839	Tery_1191
CP000393.1	1866982	1867335	Tery_1193
CP000393.1	1867440	1868705	Tery_1194
CP000393.1	1874599	1874733	Tery_1199
CP000393.1	1875146	1875325	Tery_1200
CP000393.1	1876834	1877520	Tery_1202
CP000393.1	1881454	1881882	Tery_1207
CP000393.1	1881938	1882150	Tery_1208
CP000393.1	1884106	1884465	Tery_1210
CP000393.1	1886638	1888128	Tery_1214
CP000393.1	1892035	1892247	Tery_1216
CP000393.1	1893487	1893612	Tery_1218
CP000393.1	1893730	1893888	Tery_1219
CP000393.1	1895249	1895383	Tery_1221
CP000393.1	1895796	1895975	Tery_1222
CP000393.1	1900405	1900476	Tery_R0008
CP000393.1	1900636	1901181	Tery_1227
CP000393.1	1901362	1902057	Tery_1228
CP000393.1	1902054	1902320	Tery_1229
CP000393.1	1916945	1917445	Tery_1236
CP000393.1	1917668	1919488	Tery_1237
CP000393.1	1919537	1919836	Tery_1238
CP000393.1	1919854	1921656	Tery_1239
CP000393.1	1926211	1927449	Tery_1244
CP000393.1	1942378	1942674	Tery_1256
CP000393.1	1944502	1944867	Tery_1258
CP000393.1	1944894	1945985	Tery_1259
CP000393.1	1949797	1950114	Tery_1263
CP000393.1	1950101	1950238	Tery_1264
CP000393.1	1950795	1951283	Tery_1265
CP000393.1	1960720	1960962	Tery_1278
CP000393.1	1962194	1962499	Tery_1279
CP000393.1	1962554	1962799	Tery_1280
CP000393.1	1969872	1970255	Tery_1289
CP000393.1	1970256	1970465	Tery_1290
CP000393.1	1972786	1973562	Tery_1292
CP000393.1	1977141	1978658	Tery_1296
CP000393.1	1982085	1982285	Tery_1297
CP000393.1	1985587	1986489	Tery_1301
CP000393.1	1987176	1987925	Tery_1302
CP000393.1	1989720	1990229	Tery_1305
CP000393.1	1990542	1992458	Tery_1306
CP000393.1	1994206	1996482	Tery_1307
CP000393.1	2001473	2001790	Tery_1311
CP000393.1	2002256	2003392	Tery_1312
CP000393.1	2008631	2009329	Tery_1316
CP000393.1	2011162	2012967	Tery_1318
CP000393.1	2016583	2016810	Tery_1322
CP000393.1	2022108	2023112	Tery_1325
CP000393.1	2025743	2027152	Tery_1328
CP000393.1	2029603	2030283	Tery_1332
CP000393.1	2031392	2031607	Tery_1335
CP000393.1	2031910	2032515	Tery_1336
CP000393.1	2032658	2034337	Tery_1337
CP000393.1	2040749	2041705	Tery_1340
CP000393.1	2042045	2043895	Tery_1341
CP000393.1	2047790	2047996	Tery_1342
CP000393.1	2048695	2049441	Tery_1343
CP000393.1	2049484	2050365	Tery_1344
CP000393.1	2052114	2052659	Tery_1346
CP000393.1	2056360	2057220	Tery_1348
CP000393.1	2057447	2059189	Tery_1349
CP000393.1	2060638	2061978	Tery_1350
CP000393.1	2062784	2064964	Tery_1351
CP000393.1	2065274	2068273	Tery_1352
CP000393.1	2068829	2069584	Tery_1353
CP000393.1	2073515	2075386	Tery_1355
CP000393.1	2076163	2077434	Tery_1356
CP000393.1	2077704	2078402	Tery_1357
CP000393.1	2079608	2080351	Tery_1358
CP000393.1	2081009	2086984	Tery_1360
CP000393.1	2087004	2089568	Tery_1361
CP000393.1	2089867	2091285	Tery_1362
CP000393.1	2091665	2092519	Tery_1363
CP000393.1	2092708	2093247	Tery_1364
CP000393.1	2097863	2098603	Tery_1367
CP000393.1	2098603	2099235	Tery_1368
CP000393.1	2099242	2100564	Tery_1369
CP000393.1	2117278	2119272	Tery_1383
CP000393.1	2123603	2123848	Tery_1390
CP000393.1	2124776	2125009	Tery_1392
CP000393.1	2127771	2128040	Tery_1395
CP000393.1	2136808	2137494	Tery_1405
CP000393.1	2138490	2138744	Tery_1407
CP000393.1	2138782	2139186	Tery_1408
CP000393.1	2141101	2141295	Tery_1412
CP000393.1	2141613	2142014	Tery_1413
CP000393.1	2143846	2144394	Tery_1416
CP000393.1	2144836	2145510	Tery_1417
CP000393.1	2146092	2148653	Tery_1418
CP000393.1	2150970	2151116	Tery_1420
CP000393.1	2151480	2154209	Tery_1421
CP000393.1	2155551	2157032	Tery_1423
CP000393.1	2157109	2158074	Tery_1424
CP000393.1	2158202	2159509	Tery_1425
CP000393.1	2159601	2159990	Tery_1426
CP000393.1	2160042	2160473	Tery_1427
CP000393.1	2160500	2162746	Tery_1428
CP000393.1	2162739	2163899	Tery_1429
CP000393.1	2164055	2165092	Tery_1430
CP000393.1	2165108	2166181	Tery_1431
CP000393.1	2166252	2167331	Tery_1432
CP000393.1	2173203	2174015	Tery_1437
CP000393.1	2177667	2179061	Tery_1440
CP000393.1	2179545	2181449	Tery_1441
CP000393.1	2183805	2183933	Tery_1445
CP000393.1	2184008	2184361	Tery_1446
CP000393.1	2184530	2184919	Tery_1447
CP000393.1	2188783	2191536	Tery_1450
CP000393.1	2191817	2193394	Tery_1451
CP000393.1	2193828	2195204	Tery_1452
CP000393.1	2202340	2202627	Tery_1455
CP000393.1	2202612	2202809	Tery_1456
CP000393.1	2203647	2205473	Tery_1457
CP000393.1	2206086	2207102	Tery_1458
CP000393.1	2207730	2208740	Tery_1459
CP000393.1	2209909	2212056	Tery_1461
CP000393.1	2221744	2222886	Tery_1463
CP000393.1	2222907	2223434	Tery_1464
CP000393.1	2223507	2225219	Tery_1465
CP000393.1	2225569	2226135	Tery_1466
CP000393.1	2226624	2227235	Tery_1467
CP000393.1	2227399	2227725	Tery_1468
CP000393.1	2228505	2230655	Tery_1470
CP000393.1	2231265	2232536	Tery_1471
CP000393.1	2233115	2234302	Tery_1472
CP000393.1	2243655	2249795	Tery_1479
CP000393.1	2250045	2251889	Tery_1480
CP000393.1	2251946	2253229	Tery_1481
CP000393.1	2254170	2254688	Tery_1482
CP000393.1	2255847	2257025	Tery_1485
CP000393.1	2257131	2258564	Tery_1486
CP000393.1	2258640	2260478	Tery_1487
CP000393.1	2260811	2262151	Tery_1488
CP000393.1	2272168	2275125	Tery_1496
CP000393.1	2275783	2279412	Tery_1497
CP000393.1	2283508	2284245	Tery_1500
CP000393.1	2287727	2288308	Tery_1504
CP000393.1	2290170	2290724	Tery_1506
CP000393.1	2291951	2292667	Tery_1507
CP000393.1	2292766	2293098	Tery_1508
CP000393.1	2293129	2293335	Tery_1509
CP000393.1	2294607	2296907	Tery_1511
CP000393.1	2300636	2301247	Tery_1514
CP000393.1	2302943	2304043	Tery_1515
CP000393.1	2310208	2310447	Tery_1520
CP000393.1	2310598	2310861	Tery_1521
CP000393.1	2310958	2312223	Tery_1522
CP000393.1	2313012	2314022	Tery_1523
CP000393.1	2315772	2316473	Tery_1525
CP000393.1	2319290	2320687	Tery_1530
CP000393.1	2321453	2322700	Tery_1531
CP000393.1	2322739	2323605	Tery_1532
CP000393.1	2324538	2326616	Tery_1533
CP000393.1	2330508	2332670	Tery_1536
CP000393.1	2339841	2341994	Tery_1541
CP000393.1	2362918	2364054	Tery_1550
CP000393.1	2364599	2368258	Tery_1551
