#chromosome	start	end	geneName
CP000393.1	2582888	2583367	Tery_1700
CP000393.1	4640787	4641197	Tery_2984
CP000393.1	1105112	1105870	Tery_0675
CP000393.1	1977141	1978658	Tery_1296
CP000393.1	1086982	1089591	Tery_0664
CP000393.1	1712154	1715477	Tery_1092
CP000393.1	359583	361217	Tery_0231
CP000393.1	6373903	6374769	Tery_4132
CP000393.1	7698675	7699313	Tery_5038
CP000393.1	2687863	2688063	Tery_1765
CP000393.1	973082	974287	Tery_0602
CP000393.1	1715631	1719581	Tery_1093
CP000393.1	3861798	3862712	Tery_2502
CP000393.1	4637845	4638954	Tery_2982
CP000393.1	4510029	4510775	Tery_2901
CP000393.1	5161799	5162062	Tery_3366
CP000393.1	5974812	5977262	Tery_3864
CP000393.1	1562383	1562916	Tery_0998
CP000393.1	7100809	7101771	Tery_4621
CP000393.1	7439656	7440087	Tery_4845
CP000393.1	5158360	5158881	Tery_3360
CP000393.1	772170	774218	Tery_0483
CP000393.1	2508813	2509298	Tery_1645
CP000393.1	3353978	3355360	Tery_2147
CP000393.1	6373632	6373910	Tery_4131
CP000393.1	3956896	3957825	Tery_2560
CP000393.1	4835143	4836300	Tery_3167
CP000393.1	7169309	7170043	Tery_4662
CP000393.1	102724	103299	Tery_0073
CP000393.1	6821260	6822414	Tery_4426
CP000393.1	5162136	5162609	Tery_3367
CP000393.1	5160194	5161171	Tery_3364
CP000393.1	675849	677618	Tery_0426
CP000393.1	2416673	2417824	Tery_1580
CP000393.1	1076583	1078646	Tery_0660
CP000393.1	4774821	4776155	Tery_3119
CP000393.1	4174532	4176070	Tery_2699
CP000393.1	1172915	1173760	Tery_0724
CP000393.1	7704154	7704384	Tery_5042
CP000393.1	2294607	2296907	Tery_1511
CP000393.1	219182	219649	Tery_0149
CP000393.1	2493403	2494218	Tery_1632
CP000393.1	4820301	4822412	Tery_3157
CP000393.1	1154358	1157420	Tery_0714
CP000393.1	6073309	6073470	Tery_3930
CP000393.1	682941	683198	Tery_0433
CP000393.1	6249775	6250944	Tery_4044
CP000393.1	4166810	4167943	Tery_2694
CP000393.1	1446531	1447538	Tery_0913
CP000393.1	4170843	4171718	Tery_2696
CP000393.1	3933902	3935035	Tery_2551
CP000393.1	6487704	6487964	Tery_4207
CP000393.1	7263602	7263862	Tery_4732
CP000393.1	4646309	4646422	Tery_2991
CP000393.1	4655520	4655879	Tery_3007
CP000393.1	3907419	3909845	Tery_2533
CP000393.1	5159483	5159773	Tery_3363
CP000393.1	5468356	5468850	Tery_3548
CP000393.1	2144836	2145510	Tery_1417
CP000393.1	4966841	4967251	Tery_3243
CP000393.1	7317337	7317684	Tery_4764
CP000393.1	2711932	2713704	Tery_1778
CP000393.1	4845808	4846593	Tery_3173
CP000393.1	6484797	6485912	Tery_4205
CP000393.1	214536	215744	Tery_0146
CP000393.1	4966377	4966664	Tery_3242
CP000393.1	6371022	6371294	Tery_4129
