#chromosome	start	end	padj
CP000393.1	7698675	7699313	0.000263011283171875
CP000393.1	2687863	2688063	0.000290862140241851
CP000393.1	973082	974287	0.000358577758384346
CP000393.1	1715631	1719581	0.000392471515058506
CP000393.1	3861798	3862712	0.000520121004290661
CP000393.1	6468582	6470834	0.0005468666569741769
CP000393.1	4637845	4638954	0.000595466930912636
CP000393.1	4510029	4510775	0.0005993689824042059
CP000393.1	5161799	5162062	0.000616170936009042
CP000393.1	5974812	5977262	0.0006283697883671179
CP000393.1	1562383	1562916	0.000718488618696309
CP000393.1	2899102	2902572	0.000729341961133715
CP000393.1	1312665	1313972	0.000737580127324748
CP000393.1	7100809	7101771	0.000769973527472672
CP000393.1	7439656	7440087	0.00077785355330668
CP000393.1	5158360	5158881	0.000801014452039971
CP000393.1	772170	774218	0.0008475897389603309
CP000393.1	6106686	6106904	0.0009275197274503211
CP000393.1	2508813	2509298	0.000934019876189036
CP000393.1	3353978	3355360	0.000942207624615766
CP000393.1	6373632	6373910	0.0009461565152786039
CP000393.1	3956896	3957825	0.0009641206254704189
CP000393.1	4384041	4384712	0.00102394977956023
CP000393.1	4835143	4836300	0.0010786866493231
CP000393.1	4576166	4577068	0.00114193840922302
CP000393.1	7169309	7170043	0.00118361028772778
CP000393.1	4196545	4197528	0.00120850679418145
CP000393.1	6511382	6511732	0.00120899173759113
CP000393.1	102724	103299	0.0012231314393021699
CP000393.1	5471840	5472277	0.00125622609177825
CP000393.1	6821260	6822414	0.00125622609177825
CP000393.1	5162136	5162609	0.0013375242461166
CP000393.1	2902686	2905277	0.00145569293085473
CP000393.1	5285155	5294736	0.0014579641645835401
CP000393.1	5160194	5161171	0.00158457833622301
CP000393.1	675849	677618	0.00163103961252509
CP000393.1	2416673	2417824	0.00165490313311998
CP000393.1	1076583	1078646	0.00168967471419078
CP000393.1	4986242	4987276	0.0017778924997972699
CP000393.1	4774821	4776155	0.00186141908447987
CP000393.1	4174532	4176070	0.00189800454483707
CP000393.1	4022248	4023663	0.001945028051544
CP000393.1	1172915	1173760	0.00207414979833709
CP000393.1	7704154	7704384	0.00207414979833709
CP000393.1	2294607	2296907	0.0022624398954367
CP000393.1	219182	219649	0.00239444677446905
CP000393.1	2493403	2494218	0.0024615512766534803
CP000393.1	4820301	4822412	0.0024615512766534803
CP000393.1	3436077	3437288	0.00263868564456702
CP000393.1	1154358	1157420	0.00270792950207871
CP000393.1	6073309	6073470	0.00277571757531381
CP000393.1	5053846	5054205	0.00280525134106642
CP000393.1	3976704	3978320	0.00285936304997985
CP000393.1	682941	683198	0.0028726339692324897
CP000393.1	6249775	6250944	0.0028805687575715697
CP000393.1	1359705	1361627	0.00303866150965938
CP000393.1	4166810	4167943	0.00313771178549883
CP000393.1	3375683	3376036	0.00343636874711469
CP000393.1	2565356	2565520	0.00353431901025769
CP000393.1	1446531	1447538	0.0037000596619885797
CP000393.1	4170843	4171718	0.00402253185530991
CP000393.1	3933902	3935035	0.00438509429904258
CP000393.1	6487704	6487964	0.00444017134291532
CP000393.1	7263602	7263862	0.00488597297013106
CP000393.1	7051997	7054231	0.00517548084675581
CP000393.1	285862	287871	0.005194711925047679
CP000393.1	3659573	3659785	0.00562329388912823
CP000393.1	5229829	5231175	0.0063318780968037
CP000393.1	6549951	6551546	0.0063318780968037
CP000393.1	3489738	3490052	0.0063479486669436895
CP000393.1	1942378	1942674	0.00636867729601179
CP000393.1	4646309	4646422	0.00636867729601179
CP000393.1	498095	498529	0.0065033931362103795
CP000393.1	2843174	2843704	0.0065033931362103795
CP000393.1	4655520	4655879	0.0065033931362103795
CP000393.1	3907419	3909845	0.00669188188168378
CP000393.1	5159483	5159773	0.006777193627593829
CP000393.1	5468356	5468850	0.006992623700048221
CP000393.1	2144836	2145510	0.00703219188447151
CP000393.1	4966841	4967251	0.007468178506921491
CP000393.1	272764	274590	0.0075052717801504095
CP000393.1	7317337	7317684	0.00756340038236215
CP000393.1	310956	311729	0.00773712625896586
CP000393.1	2711932	2713704	0.00773712625896586
CP000393.1	3376185	3377561	0.00773712625896586
CP000393.1	4631340	4632689	0.007937117230330741
CP000393.1	4845808	4846593	0.00816182825042192
CP000393.1	5918586	5919080	0.008833504220343109
CP000393.1	6484797	6485912	0.009396108492857859
CP000393.1	214536	215744	0.009551493145658209
CP000393.1	4966377	4966664	0.009745959666659441
CP000393.1	6371022	6371294	0.009745959666659441
CP000393.1	3471091	3472485	0.0101162637559512
CP000393.1	4625247	4626683	0.0101162637559512
CP000393.1	6600206	6601207	0.0101162637559512
CP000393.1	498617	499183	0.0103034230223193
CP000393.1	6879044	6879727	0.0106006009960876
CP000393.1	3895366	3898830	0.0108077006803608
CP000393.1	1760505	1761014	0.0110631431637851
CP000393.1	1738000	1738806	0.011091843285879997
CP000393.1	2415284	2416402	0.0114317719984709
CP000393.1	683916	684992	0.0115899943393075
CP000393.1	3837647	3841321	0.0118091962766376
CP000393.1	5559755	5560525	0.011906910727671001
CP000393.1	3859190	3859936	0.0121914873351148
CP000393.1	1165895	1167805	0.0123516868692827
CP000393.1	4780564	4781691	0.0123516868692827
CP000393.1	4645837	4646220	0.0126700715567209
CP000393.1	1543881	1544885	0.012855019069687
CP000393.1	3346524	3347168	0.0137803224274274
CP000393.1	3462170	3462343	0.0140399575132232
CP000393.1	1341178	1343412	0.0144860642841277
CP000393.1	1866982	1867335	0.0148503436503465
CP000393.1	5168831	5170021	0.0149536679734253
CP000393.1	5608746	5609231	0.0152636440019226
CP000393.1	3650672	3650887	0.0155101181379974
CP000393.1	5547340	5548521	0.0155101181379974
CP000393.1	666287	669340	0.0157584872059814
CP000393.1	4777278	4778384	0.0160890024859326
CP000393.1	7129472	7130017	0.016277780416701002
CP000393.1	931529	932113	0.0167474974211173
CP000393.1	1340262	1340720	0.0170896350470413
CP000393.1	4641197	4641652	0.0173766715830213
CP000393.1	407544	407945	0.0177337092864123
CP000393.1	3919312	3920388	0.0178917162503809
CP000393.1	7167561	7168823	0.0182518692572247
CP000393.1	2561721	2562938	0.0182572619598031
CP000393.1	716384	717634	0.0187103181130849
CP000393.1	5650391	5652385	0.0195797867068407
CP000393.1	7170231	7171403	0.0195797867068407
CP000393.1	4656467	4657330	0.0200848252099967
CP000393.1	7703059	7704045	0.020476580709630002
CP000393.1	4964016	4965701	0.0218819963484956
CP000393.1	7707694	7708563	0.0221070112487773
CP000393.1	4656018	4656293	0.0224311273639492
CP000393.1	7705715	7705858	0.0224311273639492
CP000393.1	4827852	4828892	0.0225032010492433
CP000393.1	1636808	1638328	0.0226217392319147
CP000393.1	4642259	4643077	0.023195714222472
CP000393.1	7336544	7337947	0.023735514981653997
CP000393.1	5173187	5174044	0.0242529344897708
CP000393.1	679466	679681	0.0243737578970784
CP000393.1	56599	56982	0.0252072722811619
CP000393.1	2300636	2301247	0.0252072722811619
CP000393.1	2563253	2564455	0.0252072722811619
CP000393.1	408165	408737	0.0254552374056644
CP000393.1	6152058	6153338	0.0259642301506215
CP000393.1	2097863	2098603	0.0260056711047707
CP000393.1	1881938	1882150	0.0265479405967839
CP000393.1	1561195	1561689	0.0271949209177584
CP000393.1	669642	675599	0.0288181672282524
CP000393.1	1137030	1138022	0.0289396117967848
CP000393.1	262379	262978	0.0292927892731232
CP000393.1	5273214	5274002	0.0300062165390795
CP000393.1	1138145	1139647	0.0304135184405266
CP000393.1	2713791	2714810	0.0304189931080138
CP000393.1	6897392	6900367	0.0304189931080138
CP000393.1	311780	312592	0.0307122871952492
CP000393.1	5401277	5401999	0.0316001275414257
CP000393.1	6284592	6284990	0.032833554290312005
CP000393.1	4319925	4320788	0.0331319929937135
CP000393.1	7704492	7705079	0.0340931865579812
CP000393.1	3487893	3488798	0.0341612692301379
CP000393.1	4564109	4566127	0.0349240453875146
CP000393.1	3031977	3033209	0.0353411145234471
CP000393.1	2427881	2428261	0.0353783753293842
CP000393.1	3321810	3322571	0.0364889501345971
CP000393.1	4657692	4658330	0.0364889501345971
CP000393.1	230297	232696	0.0366260159847026
CP000393.1	2695073	2697295	0.0366260159847026
CP000393.1	2517954	2520014	0.0367393749383855
CP000393.1	2048695	2049441	0.0386228978595648
CP000393.1	6765304	6766785	0.0386560513514699
CP000393.1	2580918	2581874	0.0392185280228419
CP000393.1	4624227	4625204	0.0399447428657405
CP000393.1	2767705	2769240	0.0406442406232506
CP000393.1	5951160	5951471	0.0406442406232506
CP000393.1	66565	67806	0.0408390390659838
CP000393.1	2495162	2495653	0.0412651332608836
CP000393.1	6740260	6740658	0.0412651332608836
CP000393.1	4375465	4376610	0.0414816897246634
CP000393.1	5609420	5609905	0.0414816897246634
CP000393.1	4072395	4074116	0.0419746765814402
CP000393.1	5254572	5256005	0.0421362574698824
CP000393.1	411770	411994	0.0429670019317512
CP000393.1	4657397	4657702	0.0430428799770639
CP000393.1	7219548	7220354	0.0430587210972662
CP000393.1	4566590	4569898	0.0433156082537905
CP000393.1	4644681	4645076	0.0437202102309715
CP000393.1	2117278	2119272	0.0441057413273927
CP000393.1	3819627	3823592	0.0448407219872051
CP000393.1	5256465	5256788	0.0449201177972118
CP000393.1	6758620	6759363	0.044935380501284004
CP000393.1	2486145	2488037	0.0449701020983136
CP000393.1	4181555	4182106	0.0449701020983136
CP000393.1	6926028	6926552	0.0449701020983136
CP000393.1	3468868	3469581	0.0450307503470607
CP000393.1	3751594	3753021	0.0450307503470607
CP000393.1	3863541	3864278	0.0451999037201949
CP000393.1	2579163	2579600	0.0453667325503743
CP000393.1	572415	573554	0.0454882848055438
CP000393.1	6159015	6160403	0.0456165469596376
CP000393.1	2738086	2739255	0.0459363066445847
CP000393.1	412296	412368	0.0460469840206971
CP000393.1	4643190	4643540	0.046864502743967
CP000393.1	6122133	6124808	0.0468727078850409
CP000393.1	3143842	3144279	0.0470106876317181
CP000393.1	595024	595416	0.0478032173884745
CP000393.1	3933098	3933889	0.0478810111044778
CP000393.1	2958689	2958859	0.0484024857376076
CP000393.1	4653896	4654144	0.0487183401134443
CP000393.1	1638481	1638831	0.0489072399103106
CP000393.1	5659327	5660199	0.0490683640807357
CP000393.1	3568686	3568985	0.0492538794590067
CP000393.1	3106781	3107587	0.049624801312650006
CP000393.1	4218705	4220324	0.049695815428986996
CP000393.1	5128555	5130444	0.0497046756265491
CP000393.1	1561761	1562300	0.0503978866134083
CP000393.1	5204319	5205416	0.0507857725251206
CP000393.1	2586415	2586891	0.0520108740841269
CP000393.1	6072050	6073291	0.0533978317314023
CP000393.1	3130221	3131225	0.0534909226877721
CP000393.1	7176127	7178343	0.0536868537957342
CP000393.1	5946968	5948986	0.0538456951035556
CP000393.1	6791736	6793166	0.0538456951035556
CP000393.1	3927722	3928495	0.0549018576289244
CP000393.1	411099	411773	0.0549557255916951
CP000393.1	7666501	7668621	0.0553674960779361
CP000393.1	5275996	5276295	0.0554392946466422
CP000393.1	7709436	7709954	0.0556606000425214
CP000393.1	166446	167438	0.0592284514478644
CP000393.1	2193828	2195204	0.0592284514478644
CP000393.1	4643691	4644656	0.0592401059540539
CP000393.1	5726339	5727826	0.0592518342468476
CP000393.1	6118318	6119784	0.0592518342468476
CP000393.1	7480163	7481179	0.0592518342468476
CP000393.1	5264342	5265040	0.0610502804706342
CP000393.1	760873	770310	0.0610518887381857
CP000393.1	1559925	1560536	0.0612188992706418
CP000393.1	7613119	7615794	0.0622218983961695
CP000393.1	4108473	4109852	0.0622426156791773
CP000393.1	1163597	1164763	0.0632282408937039
CP000393.1	1864279	1864839	0.0632282408937039
CP000393.1	2815610	2815726	0.0632282408937039
CP000393.1	7178626	7180887	0.0632282408937039
CP000393.1	5927248	5928693	0.0632983515216243
CP000393.1	1547518	1548006	0.0638006388251239
CP000393.1	4336625	4337872	0.06554437865349501
CP000393.1	3650114	3650326	0.0666957522360833
CP000393.1	4415949	4417862	0.0669516312770633
CP000393.1	5945002	5945916	0.0669516312770633
CP000393.1	6392294	6392974	0.0669516312770633
CP000393.1	6372687	6372878	0.0670244782814186
CP000393.1	7228305	7229447	0.0673724379648327
CP000393.1	2258640	2260478	0.0684304381845817
CP000393.1	7464514	7465014	0.0684304381845817
CP000393.1	2821588	2825619	0.0688788607536984
CP000393.1	680792	682300	0.068915575698767
CP000393.1	7708849	7709337	0.068915575698767
CP000393.1	6692391	6692939	0.0697917948295143
CP000393.1	2001473	2001790	0.0706559028949078
CP000393.1	1067190	1067384	0.0711923124007797
CP000393.1	4658353	4659036	0.0719636016871331
CP000393.1	3702494	3702724	0.0725179997514286
CP000393.1	4808487	4810391	0.0726964220042736
CP000393.1	4669023	4669628	0.072971491919876
CP000393.1	5400781	5401284	0.072971491919876
CP000393.1	7226398	7227804	0.072971491919876
CP000393.1	3631292	3631852	0.0740714969312021
CP000393.1	4654735	4655463	0.0754098810509009
CP000393.1	6553976	6555010	0.0758245205740585
CP000393.1	5852521	5852592	0.0761583454420494
CP000393.1	4057414	4058691	0.0762604215582353
CP000393.1	7706972	7707616	0.0762604215582353
CP000393.1	7727163	7728194	0.0762604215582353
CP000393.1	678196	678477	0.0763696328535258
CP000393.1	1692630	1693406	0.0763907823258504
CP000393.1	5482056	5482604	0.0775931419802568
CP000393.1	6790587	6790922	0.0775931419802568
CP000393.1	2494722	2494847	0.0776373576192827
CP000393.1	1330521	1331741	0.0780684906158788
CP000393.1	2840104	2841153	0.07886585332327099
CP000393.1	861724	862257	0.0792184407290976
CP000393.1	6066114	6067544	0.0792184407290976
CP000393.1	2697763	2701785	0.0795112332156653
CP000393.1	2419308	2419811	0.0810502296119658
CP000393.1	4062549	4063715	0.0812762763172595
CP000393.1	4192357	4195296	0.0812762763172595
CP000393.1	3483225	3484160	0.0816063098613535
CP000393.1	2872909	2873547	0.0818459917857136
CP000393.1	220187	220516	0.0819003998549425
CP000393.1	5747003	5747629	0.0820576903544228
CP000393.1	1175476	1177374	0.0822414693650711
CP000393.1	3633780	3635186	0.0822724841044187
CP000393.1	4252779	4253852	0.0823911287276247
CP000393.1	4543239	4544114	0.0831816532232508
CP000393.1	2166252	2167331	0.0832396863774473
CP000393.1	5206814	5208517	0.0832396863774473
CP000393.1	2753595	2754209	0.0834324347917996
CP000393.1	294279	294905	0.0856059223327734
CP000393.1	247846	248388	0.0856521390946541
CP000393.1	6526291	6529743	0.0856521390946541
CP000393.1	6350462	6351073	0.0858599438298459
CP000393.1	3836241	3836726	0.0864041878266704
CP000393.1	6902230	6903477	0.0867669859376267
CP000393.1	2155551	2157032	0.0875841889693053
CP000393.1	6844980	6845864	0.0875841889693053
CP000393.1	1337820	1338695	0.0883556329320093
CP000393.1	2409951	2410151	0.0884063903472922
CP000393.1	5563176	5563982	0.0884063903472922
CP000393.1	6363768	6364736	0.0886780243268969
CP000393.1	92879	93088	0.0905262946728633
CP000393.1	1654059	1655711	0.0905634942345783
CP000393.1	3101583	3102569	0.0905634942345783
CP000393.1	5401990	5402397	0.0917286136082363
CP000393.1	7668698	7669057	0.0918808302344609
CP000393.1	7027790	7028110	0.0921741271675405
CP000393.1	3204998	3206956	0.0922123888884791
CP000393.1	438503	439606	0.0924030172344561
CP000393.1	645965	646633	0.0924030172344561
CP000393.1	1782421	1783974	0.0924030172344561
CP000393.1	986538	987218	0.0933610689367707
CP000393.1	6052171	6053007	0.0933916410868001
CP000393.1	2315772	2316473	0.0941220809864369
CP000393.1	3427838	3428782	0.0959994583075603
CP000393.1	2706719	2707417	0.0968236818374871
CP000393.1	4478487	4479398	0.097666355521005
CP000393.1	7089184	7089957	0.0978447629450618
CP000393.1	6893345	6893734	0.0993961767584249
CP000393.1	3849056	3849985	0.10001166745915899
CP000393.1	4199215	4200150	0.10001166745915899
CP000393.1	1917668	1919488	0.100782842107954
CP000393.1	3698168	3699247	0.100782842107954
CP000393.1	5419868	5420236	0.100782842107954
CP000393.1	5052127	5053260	0.10302819134277601
CP000393.1	1824405	1824599	0.10309345455878001
CP000393.1	692630	693079	0.103095049360734
CP000393.1	3481790	3483193	0.104507113661961
CP000393.1	5011083	5015132	0.104794376637657
CP000393.1	6104408	6104557	0.10504978280256098
CP000393.1	149231	150202	0.10604098936518098
CP000393.1	7130062	7130967	0.10666272737735198
CP000393.1	4726162	4726524	0.10667801240084501
CP000393.1	3430009	3431526	0.107444308632508
CP000393.1	2451467	2452744	0.10864287338223301
CP000393.1	7302434	7303252	0.10864287338223301
CP000393.1	317874	319187	0.109212355534233
CP000393.1	1548092	1548631	0.10954875205444999
CP000393.1	7258754	7260103	0.11109913978935199
CP000393.1	3769757	3770728	0.111718173003744
CP000393.1	3263487	3265649	0.11234164594855803
CP000393.1	3484318	3484539	0.11259779349453398
CP000393.1	2659750	2660862	0.114382074307703
CP000393.1	6682448	6683443	0.114767415075111
CP000393.1	1144783	1145628	0.11510716379518698
CP000393.1	555242	555889	0.11560979335732599
CP000393.1	4640199	4640471	0.11560979335732599
CP000393.1	5382588	5383016	0.11573969830520699
CP000393.1	289976	291565	0.11620648189244699
CP000393.1	3370639	3371970	0.11620648189244699
CP000393.1	1709719	1711734	0.116443776207624
CP000393.1	2424735	2427869	0.11842115002756198
CP000393.1	3422919	3424724	0.119134222370556
CP000393.1	3344106	3344369	0.119347581828733
CP000393.1	6108569	6108925	0.119347581828733
CP000393.1	3433474	3433719	0.11936563218705801
CP000393.1	2872171	2872839	0.11995324177582599
CP000393.1	3325010	3325507	0.121538821499688
CP000393.1	5142563	5143429	0.121538821499688
CP000393.1	7305070	7305693	0.121538821499688
CP000393.1	4228935	4232294	0.121639086825124
CP000393.1	5260646	5260837	0.12217693388421699
CP000393.1	955607	957274	0.12344924808156199
CP000393.1	2364599	2368258	0.123512616502361
CP000393.1	6170197	6170278	0.123752969109296
CP000393.1	1011270	1011488	0.12477648254129901
CP000393.1	3272360	3272947	0.126142228744303
CP000393.1	1060928	1062169	0.128218518209621
CP000393.1	7028526	7029737	0.129188875147457
CP000393.1	2618665	2620149	0.131366771917258
CP000393.1	2291951	2292667	0.13195699479610198
CP000393.1	7743289	7743768	0.13264737909554
CP000393.1	275667	276845	0.132688204038154
CP000393.1	2138782	2139186	0.132688204038154
CP000393.1	5055023	5057077	0.132793549756993
CP000393.1	6731613	6732389	0.133655575762069
CP000393.1	2956694	2956987	0.134157231418263
CP000393.1	4650442	4650804	0.135163479205889
CP000393.1	7236889	7237209	0.135944606251182
CP000393.1	2160042	2160473	0.136125577398998
CP000393.1	7315951	7317012	0.136653658953104
CP000393.1	725804	726748	0.137901557820375
CP000393.1	9478	9756	0.139104523257603
CP000393.1	4654148	4654561	0.14014357884737502
CP000393.1	3134655	3135641	0.140262048737738
CP000393.1	7000589	7001437	0.140262048737738
CP000393.1	6279994	6281409	0.140799078936444
CP000393.1	1299130	1299747	0.142163337251459
CP000393.1	7088372	7089187	0.14342027672862098
CP000393.1	1344655	1344795	0.143926373063509
CP000393.1	591650	592441	0.14457543191774697
CP000393.1	4143820	4144854	0.144916336078202
CP000393.1	2159601	2159990	0.145123563750422
CP000393.1	1339201	1339905	0.145604822283052
CP000393.1	3341786	3342769	0.146032657592363
CP000393.1	5195561	5196652	0.14611097990292002
CP000393.1	7227801	7228094	0.14611097990292002
CP000393.1	4535777	4537462	0.146643968707458
CP000393.1	989491	989970	0.147428545678528
CP000393.1	4649017	4649502	0.147428545678528
CP000393.1	2857816	2859453	0.14804727849034802
CP000393.1	6668444	6668674	0.14888789126872198
CP000393.1	4165263	4166156	0.149324631413729
CP000393.1	2741028	2741822	0.14937419086201
CP000393.1	337202	338224	0.150107169923432
CP000393.1	4591987	4592442	0.15045770877359
CP000393.1	4164431	4165150	0.151041039468031
CP000393.1	6294635	6294895	0.151041039468031
CP000393.1	4837154	4838047	0.15104590854307298
CP000393.1	5449090	5449776	0.15217749952125198
CP000393.1	6433229	6433684	0.15309657841123098
CP000393.1	2417922	2418422	0.153164114790008
CP000393.1	2491379	2492803	0.153164114790008
CP000393.1	3296981	3298258	0.153164114790008
CP000393.1	3399033	3399167	0.153164114790008
CP000393.1	6873870	6874376	0.153164114790008
CP000393.1	7284210	7286588	0.153164114790008
CP000393.1	3310984	3311595	0.155778380921555
CP000393.1	4652002	4652547	0.155961269384805
CP000393.1	6087348	6090377	0.15656775471835901
CP000393.1	6433677	6434147	0.15731313285308
CP000393.1	6085669	6086754	0.157810580576534
CP000393.1	4653015	4653383	0.158859005404453
CP000393.1	2788062	2788973	0.159607867902319
CP000393.1	4468895	4469809	0.16048216813316002
CP000393.1	7025685	7026989	0.160508709664536
CP000393.1	4647560	4648900	0.161315258761879
CP000393.1	7530485	7531666	0.16308809427576298
CP000393.1	4380083	4380964	0.16330507290851098
CP000393.1	2257131	2258564	0.164078849940047
CP000393.1	562495	563130	0.164894322767403
CP000393.1	4277465	4282600	0.165033403656764
CP000393.1	3799246	3803691	0.165128582323267
CP000393.1	4652647	4653015	0.165851387002007
CP000393.1	6402830	6403105	0.16736387416309303
CP000393.1	7057924	7058847	0.168110850864556
CP000393.1	7514525	7514839	0.16824825496709198
CP000393.1	1768286	1768873	0.16853807255025197
CP000393.1	2221744	2222886	0.169720994025246
CP000393.1	4180082	4181143	0.169720994025246
CP000393.1	6483495	6484394	0.169720994025246
CP000393.1	7085314	7086315	0.169720994025246
CP000393.1	449414	450586	0.17126208389323
CP000393.1	926399	927370	0.17302703495507898
CP000393.1	4748804	4749043	0.173312712145006
CP000393.1	6049362	6049724	0.173312712145006
CP000393.1	6155479	6156912	0.173312712145006
CP000393.1	7462209	7462706	0.173701254396489
CP000393.1	3524520	3528161	0.17398385966479502
CP000393.1	1886638	1888128	0.174688868501647
CP000393.1	5419224	5419640	0.174688868501647
CP000393.1	1343707	1343889	0.17550647475620804
CP000393.1	3792558	3792654	0.176058824052904
CP000393.1	6136937	6138085	0.176058824052904
CP000393.1	6362652	6363701	0.176985602237844
CP000393.1	7364470	7365378	0.17716298765407898
CP000393.1	3855819	3857666	0.178314287607821
CP000393.1	5712913	5713839	0.17849985169206198
CP000393.1	5802383	5802817	0.179761651586993
CP000393.1	7600850	7602076	0.18394544497644802
CP000393.1	1790156	1791298	0.18489187916812602
CP000393.1	1139656	1141056	0.18619760138805702
CP000393.1	82492	84570	0.18622972966229603
CP000393.1	3657638	3658300	0.186667564824321
CP000393.1	2754328	2755920	0.186920992441613
CP000393.1	486705	488087	0.18728245927228301
CP000393.1	4479399	4479650	0.188840093228361
CP000393.1	4937986	4938924	0.188840093228361
CP000393.1	5512695	5513135	0.18911709465369395
CP000393.1	3417970	3418620	0.189646031560494
CP000393.1	6064632	6065948	0.19094814926898104
CP000393.1	410674	411099	0.193385015030845
CP000393.1	4712276	4713025	0.19503078883097197
CP000393.1	513120	513839	0.19632613380042002
CP000393.1	1824692	1825762	0.196756100059615
CP000393.1	4273670	4274851	0.19747176977914102
CP000393.1	5919177	5920268	0.197581004409197
CP000393.1	4089736	4090710	0.19766209074558605
CP000393.1	1772579	1773457	0.198616183393071
CP000393.1	7674878	7675243	0.198773283407202
CP000393.1	771178	771813	0.199205947184988
CP000393.1	7671984	7672586	0.19972053749444701
CP000393.1	3152928	3153203	0.201263650405616
CP000393.1	3784198	3785514	0.20664803995672
CP000393.1	4982580	4983797	0.206923547147002
CP000393.1	6342797	6343378	0.207353694037375
CP000393.1	4653504	4653755	0.2088632289173
CP000393.1	4455685	4458183	0.209183456732907
CP000393.1	4161767	4162180	0.209273154843371
CP000393.1	844596	845066	0.21175101312339
CP000393.1	2150970	2151116	0.21175101312339
CP000393.1	6533207	6535552	0.217684887330763
CP000393.1	4172628	4172993	0.220307497476238
CP000393.1	7319934	7320278	0.22060280837562804
CP000393.1	5574671	5575789	0.22099715370064396
CP000393.1	5949949	5950287	0.221906629074667
CP000393.1	523930	524292	0.222005447371912
CP000393.1	1815804	1818287	0.22301010850367103
CP000393.1	1867440	1868705	0.22301010850367103
