#chromosome	start	end	coverage
CP000393.1	183000	184000	7.136
CP000393.1	184000	185000	6.781
CP000393.1	185000	186000	22.823
CP000393.1	186000	187000	16.646
CP000393.1	187000	188000	16.564
CP000393.1	188000	189000	28.799
CP000393.1	189000	190000	5.554
CP000393.1	190000	191000	4.003
CP000393.1	191000	192000	7.421
CP000393.1	192000	193000	9.037
CP000393.1	193000	194000	6.49
CP000393.1	194000	195000	2.267
CP000393.1	195000	196000	3.544
CP000393.1	196000	197000	1.746
CP000393.1	197000	198000	2.459
CP000393.1	198000	199000	0.636
CP000393.1	199000	200000	2.444
CP000393.1	200000	201000	2.501
CP000393.1	201000	202000	1.444
CP000393.1	202000	203000	4.948
CP000393.1	203000	204000	25.205
CP000393.1	204000	205000	101.984
CP000393.1	205000	206000	64.148
CP000393.1	206000	207000	71.223
CP000393.1	207000	208000	28.598
CP000393.1	208000	209000	13.551
CP000393.1	209000	210000	3.373
CP000393.1	210000	211000	0.457
CP000393.1	211000	212000	21.919
CP000393.1	212000	213000	9.769
CP000393.1	213000	214000	25.701
CP000393.1	214000	215000	17.974
CP000393.1	215000	216000	24.707
CP000393.1	216000	217000	17.232
CP000393.1	217000	218000	21.32
CP000393.1	218000	219000	151.055
CP000393.1	219000	220000	673.308
CP000393.1	220000	221000	173.78
CP000393.1	221000	222000	68.552
CP000393.1	222000	223000	87.254
CP000393.1	223000	224000	5.966
CP000393.1	224000	225000	12.74
CP000393.1	225000	226000	16.585
CP000393.1	226000	227000	5.313
CP000393.1	227000	228000	5.97
CP000393.1	228000	229000	23.659
CP000393.1	229000	230000	8.596
CP000393.1	230000	231000	3.848
CP000393.1	231000	232000	5.407
CP000393.1	232000	233000	9.613
CP000393.1	233000	234000	30.286
CP000393.1	234000	235000	38.678
CP000393.1	235000	236000	81.625
CP000393.1	236000	237000	16.469
CP000393.1	237000	238000	39.241
CP000393.1	238000	239000	35.951
CP000393.1	239000	240000	57.566
CP000393.1	240000	241000	29.034
CP000393.1	241000	242000	19.405
CP000393.1	242000	243000	45.593
CP000393.1	243000	244000	111.155
CP000393.1	244000	245000	450.15
CP000393.1	245000	246000	78.2
CP000393.1	246000	247000	29.973
CP000393.1	247000	248000	71.883
CP000393.1	248000	249000	73.206
CP000393.1	249000	250000	8.861
CP000393.1	250000	251000	15.528
CP000393.1	251000	252000	23.796
CP000393.1	252000	253000	20.768
CP000393.1	253000	254000	13.124
CP000393.1	254000	255000	2.941
CP000393.1	255000	256000	5.939
CP000393.1	256000	257000	11.917
CP000393.1	257000	258000	12.31
CP000393.1	258000	259000	1.952
CP000393.1	259000	260000	1.565
CP000393.1	260000	261000	1.485
CP000393.1	261000	262000	18.127
CP000393.1	262000	263000	10.965
CP000393.1	263000	264000	4.944
CP000393.1	264000	265000	0.525
CP000393.1	265000	266000	18.897
CP000393.1	266000	267000	0.305
CP000393.1	267000	268000	0.791
CP000393.1	268000	269000	0.294
CP000393.1	269000	270000	0.495
CP000393.1	270000	271000	1.958
CP000393.1	271000	272000	1.362
CP000393.1	272000	273000	345.329
CP000393.1	273000	274000	1.845
CP000393.1	274000	275000	19.784
CP000393.1	275000	276000	6.211
CP000393.1	276000	277000	9.892
CP000393.1	277000	278000	2.131
CP000393.1	278000	279000	0.775
CP000393.1	279000	280000	0.93
CP000393.1	280000	281000	1.665
CP000393.1	281000	282000	3.638
CP000393.1	282000	283000	2.777
CP000393.1	283000	284000	4.725
CP000393.1	284000	285000	5.779
CP000393.1	285000	286000	19.741
CP000393.1	286000	287000	11.213
CP000393.1	287000	288000	21.79
CP000393.1	288000	289000	17.332
CP000393.1	289000	290000	15.887
CP000393.1	290000	291000	12.973
CP000393.1	291000	292000	46.902
CP000393.1	292000	293000	78.036
CP000393.1	293000	294000	8.003
CP000393.1	294000	295000	18.55
CP000393.1	295000	296000	20.009
CP000393.1	296000	297000	22.801
CP000393.1	297000	298000	25.155
CP000393.1	298000	299000	3.414
CP000393.1	299000	300000	0.0
CP000393.1	300000	301000	0.241
CP000393.1	301000	302000	0.433
CP000393.1	302000	303000	7.595
CP000393.1	303000	304000	6.788
CP000393.1	304000	305000	6.993
CP000393.1	305000	306000	7.713
CP000393.1	306000	307000	7.985
CP000393.1	307000	308000	17.187
CP000393.1	308000	309000	27.395
CP000393.1	309000	310000	10.31
CP000393.1	310000	311000	41.204
CP000393.1	311000	312000	58.64
CP000393.1	312000	313000	61.703
CP000393.1	313000	314000	135.435
CP000393.1	314000	315000	21.263
CP000393.1	315000	316000	8.607
CP000393.1	316000	317000	2.424
CP000393.1	317000	318000	15.857
CP000393.1	318000	319000	29.99
CP000393.1	319000	320000	104.969
CP000393.1	320000	321000	55.799
CP000393.1	321000	322000	43.312
CP000393.1	322000	323000	6.254
CP000393.1	323000	324000	15.436
CP000393.1	324000	325000	1.91
CP000393.1	325000	326000	6.626
CP000393.1	326000	327000	3.812
CP000393.1	327000	328000	9.897
CP000393.1	328000	329000	102.206
CP000393.1	329000	330000	52.959
CP000393.1	330000	331000	5.981
CP000393.1	331000	332000	3.843
CP000393.1	332000	333000	14.403
CP000393.1	333000	334000	14.303
CP000393.1	334000	335000	11.765
CP000393.1	335000	336000	16.988
CP000393.1	336000	337000	4.702
CP000393.1	337000	338000	13.174
CP000393.1	338000	339000	10.37
CP000393.1	339000	340000	0.424
CP000393.1	340000	341000	0.134
CP000393.1	341000	342000	0.091
CP000393.1	342000	343000	0.645
CP000393.1	343000	344000	2.927
CP000393.1	344000	345000	1.637
CP000393.1	345000	346000	0.25
CP000393.1	346000	347000	0.134
CP000393.1	347000	348000	0.033
CP000393.1	348000	349000	0.14
CP000393.1	349000	350000	0.488
CP000393.1	350000	351000	0.942
CP000393.1	351000	352000	14.608
CP000393.1	352000	353000	9.044
CP000393.1	353000	354000	0.38
CP000393.1	354000	355000	0.571
CP000393.1	355000	356000	1.747
CP000393.1	356000	357000	11.397
CP000393.1	357000	358000	19.312
CP000393.1	358000	359000	20.979
CP000393.1	359000	360000	39.555
CP000393.1	360000	361000	40.231
CP000393.1	361000	362000	17.764
CP000393.1	362000	363000	9.112
CP000393.1	363000	364000	44.626
CP000393.1	364000	365000	68.271
CP000393.1	365000	366000	76.51
CP000393.1	366000	367000	2.861
CP000393.1	367000	368000	116.489
CP000393.1	368000	369000	221.252
CP000393.1	369000	370000	127.814
CP000393.1	370000	371000	142.427
CP000393.1	371000	372000	171.487
CP000393.1	372000	373000	85.342
CP000393.1	373000	374000	40.683
CP000393.1	374000	375000	40.497
CP000393.1	375000	376000	91.778
CP000393.1	376000	377000	21.45
CP000393.1	377000	378000	24.018
CP000393.1	378000	379000	30.855
CP000393.1	379000	380000	93.668
CP000393.1	380000	381000	36.943
CP000393.1	381000	382000	7.394
CP000393.1	382000	383000	3.853
CP000393.1	383000	384000	0.475
CP000393.1	384000	385000	0.929
CP000393.1	385000	386000	7.561
CP000393.1	386000	387000	4.153
CP000393.1	387000	388000	1.736
CP000393.1	388000	389000	0.224
CP000393.1	389000	390000	6.599
CP000393.1	390000	391000	5.219
CP000393.1	391000	392000	9.561
CP000393.1	392000	393000	26.195
CP000393.1	393000	394000	13.247
CP000393.1	394000	395000	0.688
CP000393.1	395000	396000	0.376
CP000393.1	396000	397000	3.003
CP000393.1	397000	398000	1.561
CP000393.1	398000	399000	2.685
CP000393.1	399000	400000	3.629
CP000393.1	400000	401000	4.572
CP000393.1	401000	402000	12.531
CP000393.1	402000	403000	4.132
CP000393.1	403000	404000	2.444
CP000393.1	404000	405000	76.834
CP000393.1	405000	406000	36.865
CP000393.1	406000	407000	4.507
CP000393.1	407000	408000	635.298
CP000393.1	408000	409000	246.554
CP000393.1	409000	410000	722.925
CP000393.1	410000	411000	282.612
CP000393.1	411000	412000	347.703
CP000393.1	412000	413000	302.846
CP000393.1	413000	414000	6.284
CP000393.1	414000	415000	4.432
CP000393.1	415000	416000	11.525
CP000393.1	416000	417000	0.795
CP000393.1	417000	418000	0.061
CP000393.1	418000	419000	0.0
CP000393.1	419000	420000	0.0
CP000393.1	420000	421000	0.0
CP000393.1	421000	422000	0.11
CP000393.1	422000	423000	0.641
CP000393.1	423000	424000	0.328
CP000393.1	424000	425000	0.638
CP000393.1	425000	426000	21.463
CP000393.1	426000	427000	27.559
CP000393.1	427000	428000	61.0
CP000393.1	428000	429000	73.59
CP000393.1	429000	430000	86.602
CP000393.1	430000	431000	71.095
CP000393.1	431000	432000	100.153
CP000393.1	432000	433000	78.753
CP000393.1	433000	434000	15.162
CP000393.1	434000	435000	5.367
CP000393.1	435000	436000	2.641
CP000393.1	436000	437000	0.0
CP000393.1	437000	438000	0.38
CP000393.1	438000	439000	1.501
CP000393.1	439000	440000	2.943
CP000393.1	440000	441000	5.172
CP000393.1	441000	442000	0.575
CP000393.1	442000	443000	1.659
CP000393.1	443000	444000	1.493
CP000393.1	444000	445000	5.306
CP000393.1	445000	446000	7.718
CP000393.1	446000	447000	1.608
CP000393.1	447000	448000	5.622
CP000393.1	448000	449000	3.261
CP000393.1	449000	450000	24.615
CP000393.1	450000	451000	34.184
CP000393.1	451000	452000	3.622
CP000393.1	452000	453000	2.546
CP000393.1	453000	454000	0.0
CP000393.1	454000	455000	0.074
CP000393.1	455000	456000	0.329
CP000393.1	456000	457000	2.963
CP000393.1	457000	458000	0.108
CP000393.1	458000	459000	0.218
CP000393.1	459000	460000	3.673
CP000393.1	460000	461000	0.679
CP000393.1	461000	462000	7.364
CP000393.1	462000	463000	9.893
CP000393.1	463000	464000	2.663
CP000393.1	464000	465000	1.634
CP000393.1	465000	466000	0.944
CP000393.1	466000	467000	0.793
CP000393.1	467000	468000	2.309
CP000393.1	468000	469000	1.755
CP000393.1	469000	470000	1.99
CP000393.1	470000	471000	0.0
CP000393.1	471000	472000	0.126
CP000393.1	472000	473000	0.015
CP000393.1	473000	474000	0.129
CP000393.1	474000	475000	2.289
CP000393.1	475000	476000	8.236
CP000393.1	476000	477000	7.274
CP000393.1	477000	478000	5.198
CP000393.1	478000	479000	3.231
CP000393.1	479000	480000	4.902
CP000393.1	480000	481000	0.0
CP000393.1	481000	482000	0.68
CP000393.1	482000	483000	0.148
CP000393.1	483000	484000	0.277
CP000393.1	484000	485000	18.159
CP000393.1	485000	486000	19.785
CP000393.1	486000	487000	24.784
CP000393.1	487000	488000	34.349
CP000393.1	488000	489000	27.173
CP000393.1	489000	490000	14.402
CP000393.1	490000	491000	8.922
CP000393.1	491000	492000	11.492
CP000393.1	492000	493000	2.484
CP000393.1	493000	494000	1.675
CP000393.1	494000	495000	6.729
CP000393.1	495000	496000	1.726
CP000393.1	496000	497000	0.254
CP000393.1	497000	498000	3.504
CP000393.1	498000	499000	184.777
CP000393.1	499000	500000	15.816
CP000393.1	500000	501000	3.536
CP000393.1	501000	502000	1.321
CP000393.1	502000	503000	0.654
CP000393.1	503000	504000	1.482
CP000393.1	504000	505000	35.027
CP000393.1	505000	506000	42.014
CP000393.1	506000	507000	7.482
CP000393.1	507000	508000	7.805
CP000393.1	508000	509000	5.847
CP000393.1	509000	510000	2.902
CP000393.1	510000	511000	8.604
CP000393.1	511000	512000	128.255
CP000393.1	512000	513000	1561.104
CP000393.1	513000	514000	1930.011
CP000393.1	514000	515000	16.814
CP000393.1	515000	516000	3.815
CP000393.1	516000	517000	19.286
CP000393.1	517000	518000	21.85
CP000393.1	518000	519000	34.182
CP000393.1	519000	520000	140.112
CP000393.1	520000	521000	35.555
CP000393.1	521000	522000	10.119
CP000393.1	522000	523000	32.609
CP000393.1	523000	524000	42.006
CP000393.1	524000	525000	24.627
CP000393.1	525000	526000	1.898
CP000393.1	526000	527000	3.649
CP000393.1	527000	528000	0.19
CP000393.1	528000	529000	0.047
CP000393.1	529000	530000	0.007
CP000393.1	530000	531000	0.147
CP000393.1	531000	532000	0.05
CP000393.1	532000	533000	0.078
CP000393.1	533000	534000	0.578
CP000393.1	534000	535000	0.684
CP000393.1	535000	536000	0.356
CP000393.1	536000	537000	42.231
CP000393.1	537000	538000	56.403
CP000393.1	538000	539000	54.604
CP000393.1	539000	540000	55.989
CP000393.1	540000	541000	43.032
CP000393.1	541000	542000	43.584
CP000393.1	542000	543000	7.099
CP000393.1	543000	544000	0.959
CP000393.1	544000	545000	3.937
CP000393.1	545000	546000	3.948
CP000393.1	546000	547000	1.296
CP000393.1	547000	548000	0.38
CP000393.1	548000	549000	0.831
CP000393.1	549000	550000	1.698
CP000393.1	550000	551000	0.772
CP000393.1	551000	552000	15.725
CP000393.1	552000	553000	0.485
CP000393.1	553000	554000	1.741
CP000393.1	554000	555000	1.762
CP000393.1	555000	556000	13.585
CP000393.1	556000	557000	25.032
CP000393.1	557000	558000	0.081
CP000393.1	558000	559000	0.213
CP000393.1	559000	560000	0.823
CP000393.1	560000	561000	1.434
CP000393.1	561000	562000	1.291
CP000393.1	562000	563000	2.282
CP000393.1	563000	564000	12.221
CP000393.1	564000	565000	5.759
CP000393.1	565000	566000	0.071
CP000393.1	566000	567000	0.174
CP000393.1	567000	568000	2.139
CP000393.1	568000	569000	31.703
CP000393.1	569000	570000	4.357
CP000393.1	570000	571000	5.279
CP000393.1	571000	572000	22.167
CP000393.1	572000	573000	211.278
CP000393.1	573000	574000	87.804
CP000393.1	574000	575000	70.738
CP000393.1	575000	576000	59.441
CP000393.1	576000	577000	14.993
CP000393.1	577000	578000	11.037
CP000393.1	578000	579000	6.711
CP000393.1	579000	580000	6.081
CP000393.1	580000	581000	1.469
CP000393.1	581000	582000	4.892
CP000393.1	582000	583000	0.0
CP000393.1	583000	584000	0.476
CP000393.1	584000	585000	0.712
CP000393.1	585000	586000	1.012
CP000393.1	586000	587000	0.155
CP000393.1	587000	588000	0.432
CP000393.1	588000	589000	7.646
CP000393.1	589000	590000	33.038
CP000393.1	590000	591000	1.223
CP000393.1	591000	592000	7.45
CP000393.1	592000	593000	5.903
CP000393.1	593000	594000	2.734
CP000393.1	594000	595000	6.545
CP000393.1	595000	596000	6.475
CP000393.1	596000	597000	5.116
CP000393.1	597000	598000	0.064
CP000393.1	598000	599000	0.09
CP000393.1	599000	600000	0.0
CP000393.1	600000	601000	0.0
CP000393.1	601000	602000	0.0
CP000393.1	602000	603000	0.361
CP000393.1	603000	604000	0.33
CP000393.1	604000	605000	1.09
CP000393.1	605000	606000	0.074
CP000393.1	606000	607000	0.321
CP000393.1	607000	608000	1.18
CP000393.1	608000	609000	28.453
CP000393.1	609000	610000	54.628
CP000393.1	610000	611000	20.208
CP000393.1	611000	612000	25.866
CP000393.1	612000	613000	536.154
CP000393.1	613000	614000	905.724
CP000393.1	614000	615000	1159.639
CP000393.1	615000	616000	853.464
CP000393.1	616000	617000	654.356
CP000393.1	617000	618000	521.335
CP000393.1	618000	619000	68.777
CP000393.1	619000	620000	63.617
CP000393.1	620000	621000	13.732
CP000393.1	621000	622000	53.546
CP000393.1	622000	623000	146.379
CP000393.1	623000	624000	18.656
CP000393.1	624000	625000	9.235
CP000393.1	625000	626000	10.784
CP000393.1	626000	627000	11.273
CP000393.1	627000	628000	2.198
CP000393.1	628000	629000	0.0
CP000393.1	629000	630000	2.27
CP000393.1	630000	631000	6.335
CP000393.1	631000	632000	1.34
CP000393.1	632000	633000	0.235
CP000393.1	633000	634000	0.204
CP000393.1	634000	635000	2.191
CP000393.1	635000	636000	1.568
CP000393.1	636000	637000	0.764
CP000393.1	637000	638000	0.247
CP000393.1	638000	639000	1.093
CP000393.1	639000	640000	2.557
CP000393.1	640000	641000	6.362
CP000393.1	641000	642000	46.635
CP000393.1	642000	643000	110.482
CP000393.1	643000	644000	28.393
CP000393.1	644000	645000	0.255
CP000393.1	645000	646000	2.95
CP000393.1	646000	647000	2.331
CP000393.1	647000	648000	5.879
CP000393.1	648000	649000	5.35
CP000393.1	649000	650000	7.241
CP000393.1	650000	651000	9.322
CP000393.1	651000	652000	15.734
CP000393.1	652000	653000	6.793
CP000393.1	653000	654000	4.18
CP000393.1	654000	655000	1.76
CP000393.1	655000	656000	5.126
CP000393.1	656000	657000	1.285
CP000393.1	657000	658000	2.255
CP000393.1	658000	659000	1.059
CP000393.1	659000	660000	0.858
CP000393.1	660000	661000	0.0
CP000393.1	661000	662000	0.348
CP000393.1	662000	663000	1.888
CP000393.1	663000	664000	1.711
CP000393.1	664000	665000	0.224
CP000393.1	665000	666000	2.996
CP000393.1	666000	667000	5.021
CP000393.1	667000	668000	5.25
CP000393.1	668000	669000	4.859
CP000393.1	669000	670000	47.056
CP000393.1	670000	671000	57.056
CP000393.1	671000	672000	34.315
CP000393.1	672000	673000	52.426
CP000393.1	673000	674000	43.767
CP000393.1	674000	675000	29.86
CP000393.1	675000	676000	84.079
CP000393.1	676000	677000	120.048
CP000393.1	677000	678000	197.038
CP000393.1	678000	679000	158.133
CP000393.1	679000	680000	133.702
CP000393.1	680000	681000	107.522
CP000393.1	681000	682000	86.87
CP000393.1	682000	683000	139.254
CP000393.1	683000	684000	50.678
CP000393.1	684000	685000	57.461
CP000393.1	685000	686000	162.157
CP000393.1	686000	687000	9.118
CP000393.1	687000	688000	15.332
CP000393.1	688000	689000	17.969
CP000393.1	689000	690000	20.316
CP000393.1	690000	691000	24.496
CP000393.1	691000	692000	7.608
CP000393.1	692000	693000	10.509
CP000393.1	693000	694000	21.12
CP000393.1	694000	695000	29.983
CP000393.1	695000	696000	19.178
CP000393.1	696000	697000	12.714
CP000393.1	697000	698000	17.652
CP000393.1	698000	699000	26.618
CP000393.1	699000	700000	25.773
CP000393.1	700000	701000	33.057
CP000393.1	701000	702000	11.547
CP000393.1	702000	703000	22.689
CP000393.1	703000	704000	2.644
CP000393.1	704000	705000	18.003
CP000393.1	705000	706000	18.821
CP000393.1	706000	707000	5.723
CP000393.1	707000	708000	2.322
CP000393.1	708000	709000	2.835
CP000393.1	709000	710000	2.525
CP000393.1	710000	711000	9.55
CP000393.1	711000	712000	253.532
CP000393.1	712000	713000	246.7
CP000393.1	713000	714000	216.85
CP000393.1	714000	715000	3.17
CP000393.1	715000	716000	34.041
CP000393.1	716000	717000	129.371
CP000393.1	717000	718000	108.879
CP000393.1	718000	719000	644.506
CP000393.1	719000	720000	38.459
CP000393.1	720000	721000	112.731
CP000393.1	721000	722000	0.26
CP000393.1	722000	723000	0.217
CP000393.1	723000	724000	0.842
CP000393.1	724000	725000	1.914
CP000393.1	725000	726000	65.993
CP000393.1	726000	727000	4.453
CP000393.1	727000	728000	0.286
CP000393.1	728000	729000	0.0
CP000393.1	729000	730000	1.741
CP000393.1	730000	731000	0.508
CP000393.1	731000	732000	1.978
CP000393.1	732000	733000	0.554
CP000393.1	733000	734000	1.683
CP000393.1	734000	735000	1.065
CP000393.1	735000	736000	1.918
CP000393.1	736000	737000	2.043
CP000393.1	737000	738000	5.533
CP000393.1	738000	739000	10.972
CP000393.1	739000	740000	26.997
CP000393.1	740000	741000	19.651
CP000393.1	741000	742000	23.014
CP000393.1	742000	743000	30.652
CP000393.1	743000	744000	25.577
CP000393.1	744000	745000	55.066
CP000393.1	745000	746000	56.4
CP000393.1	746000	747000	102.049
CP000393.1	747000	748000	54.324
CP000393.1	748000	749000	71.738
CP000393.1	749000	750000	53.297
CP000393.1	750000	751000	54.725
CP000393.1	751000	752000	54.948
CP000393.1	752000	753000	3.427
CP000393.1	753000	754000	9.768
CP000393.1	754000	755000	21.458
CP000393.1	755000	756000	6.158
CP000393.1	756000	757000	12.387
CP000393.1	757000	758000	10.319
CP000393.1	758000	759000	121.555
CP000393.1	759000	760000	15.787
CP000393.1	760000	761000	17.859
CP000393.1	761000	762000	7.053
CP000393.1	762000	763000	12.687
CP000393.1	763000	764000	17.109
CP000393.1	764000	765000	8.51
CP000393.1	765000	766000	8.306
CP000393.1	766000	767000	8.934
CP000393.1	767000	768000	8.272
CP000393.1	768000	769000	7.119
CP000393.1	769000	770000	8.252
CP000393.1	770000	771000	16.13
CP000393.1	771000	772000	57.977
CP000393.1	772000	773000	59.709
CP000393.1	773000	774000	74.168
CP000393.1	774000	775000	108.795
CP000393.1	775000	776000	198.885
CP000393.1	776000	777000	80.231
CP000393.1	777000	778000	111.11
CP000393.1	778000	779000	112.179
CP000393.1	779000	780000	111.744
CP000393.1	780000	781000	69.416
CP000393.1	781000	782000	48.614
CP000393.1	782000	783000	8.703
CP000393.1	783000	784000	10.016
CP000393.1	784000	785000	3.711
CP000393.1	785000	786000	7.125
CP000393.1	786000	787000	5.521
CP000393.1	787000	788000	9.005
CP000393.1	788000	789000	2.845
CP000393.1	789000	790000	6.121
CP000393.1	790000	791000	48.752
CP000393.1	791000	792000	9.787
CP000393.1	792000	793000	11.504
CP000393.1	793000	794000	26.911
CP000393.1	794000	795000	12.986
CP000393.1	795000	796000	22.751
CP000393.1	796000	797000	5.929
CP000393.1	797000	798000	10.314
CP000393.1	798000	799000	8.256
CP000393.1	799000	800000	16.256
CP000393.1	800000	801000	387.164
CP000393.1	801000	802000	432.154
CP000393.1	802000	803000	94.229
CP000393.1	803000	804000	48.559
CP000393.1	804000	805000	29.539
CP000393.1	805000	806000	20.519
CP000393.1	806000	807000	13.433
CP000393.1	807000	808000	11.097
CP000393.1	808000	809000	11.058
CP000393.1	809000	810000	1.039
CP000393.1	810000	811000	0.734
CP000393.1	811000	812000	2.957
CP000393.1	812000	813000	15.854
CP000393.1	813000	814000	45.761
CP000393.1	814000	815000	74.484
CP000393.1	815000	816000	60.937
CP000393.1	816000	817000	15.966
CP000393.1	817000	818000	0.479
CP000393.1	818000	819000	9.621
CP000393.1	819000	820000	11.731
CP000393.1	820000	821000	3.065
