Geneid	Chr	Start	End	Strand	Length	HFe_d5_rep1	HFe_d5_rep2	HFe_d5_rep3	LFe_d5_rep1	LFe_d5_rep2	MFe_d5_rep1	MFe_d5_rep2
Tery_0093	CP000393.1	129597	129836	+	240	102	196	157	138	344	135	109
Tery_0094	CP000393.1	130201	130701	+	501	320	485	342	366	593	735	268
Tery_0096	CP000393.1	131093	131992	+	900	207	391	227	243	511	346	161
Tery_0097	CP000393.1	132007	133308	-	1302	13	31	27	23	30	18	23
Tery_0100	CP000393.1	135778	138564	+	2787	368	779	531	245	426	706	366
Tery_0102	CP000393.1	139424	139738	-	315	2	16	7	1	5	8	2
Tery_0103	CP000393.1	140161	140898	-	738	429	635	516	380	420	1081	395
Tery_0104	CP000393.1	141415	142320	-	906	239	605	497	249	436	541	297
Tery_0107	CP000393.1	146668	146931	+	264	3329	4818	4704	1091	2065	4755	2540
Tery_0108	CP000393.1	147658	148572	+	915	96	127	117	30	68	78	50
Tery_0109	CP000393.1	149231	150202	-	972	248	539	457	213	254	589	302
Tery_0111	CP000393.1	151332	151466	-	135	0	8	6	2	7	3	2
Tery_0112	CP000393.1	151879	152058	-	180	0	0	0	0	0	0	0
Tery_0114	CP000393.1	154460	154756	-	297	6	6	7	2	6	9	2
Tery_0115	CP000393.1	155085	157763	-	2679	163	230	208	143	265	229	117
Tery_0116	CP000393.1	158094	158963	-	870	850	1698	1439	952	1588	1502	808
Tery_0117	CP000393.1	159122	163132	-	4011	6478	8520	7847	6929	8573	11139	5366
Tery_0118	CP000393.1	163385	163648	+	264	22	27	26	19	43	15	21
Tery_0119	CP000393.1	164262	164930	-	669	71	114	76	47	54	101	54
Tery_0120	CP000393.1	165274	166119	-	846	36	76	50	27	31	56	41
Tery_0121	CP000393.1	166446	167438	-	993	88	101	76	32	52	82	42
Tery_0122	CP000393.1	167483	177388	-	9906	142	214	190	127	195	182	150
Tery_0124	CP000393.1	178603	180135	-	1533	116	201	158	95	189	123	124
Tery_0125	CP000393.1	180459	181211	-	753	104	200	145	73	143	170	113
Tery_0127	CP000393.1	181654	182427	-	774	38	37	44	12	48	39	19
Tery_0128	CP000393.1	182421	183602	-	1182	66	114	85	72	100	114	67
Tery_0129	CP000393.1	184247	185407	-	1161	81	146	96	59	112	126	49
Tery_0130	CP000393.1	186490	187761	-	1272	193	460	390	165	294	578	274
Tery_0131	CP000393.1	188512	188796	-	285	104	210	196	85	203	111	128
Tery_0132	CP000393.1	189570	193661	-	4092	324	444	327	364	387	733	250
Tery_0133	CP000393.1	194505	195692	-	1188	47	84	61	41	70	93	53
Tery_0134	CP000393.1	196262	197389	+	1128	89	164	147	62	115	190	74
Tery_0135	CP000393.1	197382	197672	+	291	20	45	35	23	47	43	26
Tery_0136	CP000393.1	197814	198488	+	675	50	75	53	34	85	59	33
Tery_0137	CP000393.1	198506	199444	+	939	40	57	50	24	51	39	35
Tery_0138	CP000393.1	199938	201053	-	1116	35	51	43	32	42	38	24
Tery_0139	CP000393.1	202233	202853	+	621	766	1241	984	733	1201	643	565
Tery_0140	CP000393.1	204811	205926	-	1116	943	1590	1380	667	1363	1288	753
Tery_0141	CP000393.1	207239	207502	+	264	732	2163	1623	619	1173	1882	955
Tery_0142	CP000393.1	207806	208861	+	1056	842	1730	1272	631	1025	2167	918
Tery_0143	CP000393.1	209440	210882	+	1443	235	431	357	108	280	332	203
Tery_0144	CP000393.1	210882	211856	+	975	116	191	167	46	98	161	96
Tery_0145	CP000393.1	212926	214536	-	1611	353	618	489	172	366	421	309
Tery_0146	CP000393.1	214536	215744	-	1209	217	413	337	144	250	368	210
Tery_0147	CP000393.1	215800	216867	+	1068	216	349	293	123	278	365	201
Tery_0148	CP000393.1	217777	218829	+	1053	99	232	243	59	153	207	113
Tery_0149	CP000393.1	219182	219649	-	468	2431	7765	5863	1425	2540	6904	3500
Tery_0150	CP000393.1	220187	220516	-	330	328	1058	801	204	664	567	521
Tery_0151	CP000393.1	221200	222018	+	819	270	481	370	187	268	434	247
Tery_0152	CP000393.1	222270	224264	+	1995	838	1666	1284	717	987	1958	798
Tery_0153	CP000393.1	224551	225456	+	906	197	325	314	129	308	379	207
Tery_0155	CP000393.1	228600	228776	-	177	67	61	78	52	139	62	45
Tery_0156	CP000393.1	230297	232696	-	2400	147	278	218	178	281	268	156
Tery_0157	CP000393.1	238306	239277	+	972	567	992	948	499	1068	813	597
Tery_0158	CP000393.1	239488	239967	-	480	258	518	486	221	457	392	330
Tery_0159	CP000393.1	240062	241228	+	1167	578	1103	1037	529	1183	900	801
Tery_0160	CP000393.1	241221	242240	+	1020	1412	2607	2360	1112	2294	1777	1444
Tery_0161	CP000393.1	242603	243415	-	813	311	530	477	267	502	404	276
Tery_0162	CP000393.1	244314	244883	-	570	2040	4276	3392	2629	3966	8860	2690
Tery_0163	CP000393.1	246541	247155	-	615	200	402	282	144	290	273	183
Tery_0164	CP000393.1	247846	248388	-	543	767	1591	1178	541	1003	1411	760
Tery_0165	CP000393.1	248855	249184	+	330	135	273	268	175	313	305	182
Tery_0168	CP000393.1	251225	251584	+	360	186	296	254	131	296	302	206
Tery_0169	CP000393.1	251672	251941	+	270	782	2296	1947	471	872	2232	1113
Tery_0170	CP000393.1	251952	252425	+	474	1046	2051	1928	883	1795	1558	1232
Tery_0171	CP000393.1	254069	255130	+	1062	501	1071	944	402	645	1253	620
Tery_0172	CP000393.1	256583	257716	-	1134	139	271	236	307	526	275	191
Tery_0173	CP000393.1	258358	259317	+	960	115	134	112	109	253	151	85
Tery_0174	CP000393.1	259770	261428	+	1659	764	1147	812	1894	2637	1586	772
Tery_0175	CP000393.1	262109	262288	+	180	5	3	3	1	5	6	2
Tery_0176	CP000393.1	262379	262978	-	600	88	132	94	153	167	179	78
Tery_0177	CP000393.1	263727	264146	+	420	39	46	54	43	74	78	36
Tery_0178	CP000393.1	264281	265960	+	1680	262	404	357	317	534	395	269
Tery_0179	CP000393.1	266150	266914	-	765	1	3	2	1	4	3	1
Tery_0181	CP000393.1	268161	269534	+	1374	302	568	432	427	626	787	353
Tery_0182	CP000393.1	269811	270872	+	1062	1237	2853	3420	3751	11031	5860	3692
Tery_0183	CP000393.1	271328	272389	+	1062	1053	1736	2600	1727	4438	3091	2393
Tery_R0001	CP000393.1	272619	272692	-	74	5856	538	5263	5964	4899	2864	29589
Tery_0184	CP000393.1	272764	274590	-	1827	144	238	185	193	308	188	156
Tery_0185	CP000393.1	275667	276845	-	1179	123	264	179	174	238	428	149
Tery_0186	CP000393.1	277765	279303	+	1539	340	599	441	358	669	461	272
Tery_0187	CP000393.1	279451	280641	+	1191	93	199	145	77	176	123	83
Tery_R0002	CP000393.1	280981	281054	+	74	6464	1628	9507	5770	9635	3185	53724
Tery_0188	CP000393.1	281404	284049	+	2646	849	1273	1024	806	1174	1513	810
Tery_0189	CP000393.1	284158	284673	+	516	95	152	135	74	155	158	80
Tery_0190	CP000393.1	285862	287871	-	2010	365	531	457	617	713	756	300
Tery_0192	CP000393.1	289075	289680	+	606	690	1071	829	1134	1545	766	599
Tery_0193	CP000393.1	289976	291565	-	1590	345	582	436	369	542	421	311
Tery_0194	CP000393.1	292667	292939	-	273	237	310	305	190	378	242	189
Tery_0196	CP000393.1	294279	294905	-	627	128	235	199	154	250	260	129
Tery_0197	CP000393.1	294991	295656	+	666	292	665	480	314	494	472	287
Tery_0198	CP000393.1	297094	297624	-	531	174	363	282	265	404	403	178
Tery_0199	CP000393.1	298526	300574	+	2049	166	260	239	139	189	250	131
Tery_0200	CP000393.1	302330	303367	+	1038	2	3	4	2	1	1	2
Tery_0201	CP000393.1	304605	306062	+	1458	2976	5218	4809	1811	2879	4322	2675
Tery_0202	CP000393.1	306604	307140	+	537	537	993	752	386	675	870	443
Tery_0203	CP000393.1	307162	308481	+	1320	878	1342	1306	525	1086	936	728
Tery_0204	CP000393.1	309201	310238	+	1038	10	12	7	3	10	2	5
Tery_0205	CP000393.1	310956	311729	-	774	505	897	683	580	973	964	538
Tery_0206	CP000393.1	311780	312592	-	813	385	660	543	368	732	798	402
Tery_0207	CP000393.1	312998	314122	+	1125	340	536	434	322	527	496	316
Tery_0208	CP000393.1	314229	314588	-	360	45	110	88	48	108	73	46
Tery_0209	CP000393.1	315196	317253	+	2058	164	222	211	145	244	191	134
Tery_0210	CP000393.1	317874	319187	-	1314	382	607	509	383	685	489	343
Tery_0211	CP000393.1	319663	320403	-	741	779	1626	1764	751	1624	1341	1251
Tery_0212	CP000393.1	320516	321466	+	951	128	184	138	84	168	116	103
Tery_0213	CP000393.1	324132	325088	+	957	326	517	447	383	528	478	281
Tery_0214	CP000393.1	325107	326174	+	1068	164	228	284	131	285	192	210
Tery_0215	CP000393.1	327191	327484	-	294	47	76	50	31	60	32	40
Tery_0216	CP000393.1	328879	329292	-	414	1314	1980	1604	878	1483	1912	1192
Tery_0217	CP000393.1	330834	331637	+	804	594	857	801	645	1139	771	597
Tery_0218	CP000393.1	332920	335472	-	2553	358	594	543	328	401	574	318
Tery_0220	CP000393.1	337202	338224	-	1023	112	209	169	67	109	216	101
Tery_0221	CP000393.1	339480	340676	+	1197	28	64	48	31	40	69	50
Tery_0222	CP000393.1	340839	341948	+	1110	18	24	15	13	20	25	13
Tery_0223	CP000393.1	344301	345062	-	762	20	20	24	8	16	13	19
Tery_0224	CP000393.1	345347	347230	-	1884	7	11	7	9	11	16	4
Tery_0225	CP000393.1	347561	350287	-	2727	19	23	22	14	11	25	21
Tery_0226	CP000393.1	350401	351009	-	609	5	16	16	9	19	13	11
Tery_0227	CP000393.1	352378	353694	+	1317	178	352	283	144	259	290	143
Tery_0228	CP000393.1	354244	356607	+	2364	157	251	197	85	186	167	125
Tery_0229	CP000393.1	356894	357769	+	876	83	125	114	98	120	136	94
Tery_0230	CP000393.1	358803	359048	+	246	4	10	8	2	8	4	2
Tery_0231	CP000393.1	359583	361217	-	1635	643	1133	916	411	622	933	609
Tery_0232	CP000393.1	361712	362587	+	876	753	1195	912	726	1310	989	610
Tery_0233	CP000393.1	362733	362966	+	234	212	406	274	231	432	376	186
Tery_0234	CP000393.1	363849	364400	-	552	216	523	392	175	402	380	238
Tery_0235	CP000393.1	364533	365132	-	600	619	1052	871	524	952	988	608
Tery_R0003	CP000393.1	367817	367889	-	73	1607	241	1246	1817	1315	787	9415
Tery_0237	CP000393.1	368911	371385	-	2475	3136	6221	5623	2929	5273	6487	3737
Tery_0238	CP000393.1	372181	372642	-	462	131	278	243	134	289	201	128
Tery_0239	CP000393.1	373560	375467	+	1908	1032	1982	1976	843	1716	1288	1313
Tery_0240	CP000393.1	375832	377736	-	1905	301	547	543	260	454	364	418
Tery_0242	CP000393.1	379093	380244	-	1152	1127	1761	1515	1017	1674	1751	1078
Tery_0243	CP000393.1	380511	381323	-	813	71	103	107	45	93	79	67
Tery_0244	CP000393.1	382366	383226	+	861	458	699	741	322	707	674	595
Tery_0245	CP000393.1	383619	384155	+	537	34	68	69	40	63	52	37
Tery_0246	CP000393.1	384785	385255	+	471	33	59	46	19	62	38	30
Tery_0247	CP000393.1	385456	387327	-	1872	80	193	143	75	139	132	114
Tery_0248	CP000393.1	389480	390406	-	927	79	91	78	30	61	71	34
Tery_0249	CP000393.1	390886	392010	-	1125	103	179	146	63	125	151	101
Tery_0250	CP000393.1	392348	392641	+	294	17	21	14	13	23	14	10
Tery_0251	CP000393.1	392631	393239	-	609	199	409	285	149	307	249	196
Tery_0254	CP000393.1	395770	395910	-	141	0	3	8	1	4	3	0
Tery_0255	CP000393.1	397560	398477	+	918	53	84	65	51	92	61	44
Tery_0256	CP000393.1	399270	400796	-	1527	81	106	90	51	77	79	64
Tery_0257	CP000393.1	401387	401554	+	168	255	327	440	170	364	293	285
Tery_0258	CP000393.1	401698	402621	+	924	786	1184	979	754	1331	1095	703
Tery_0259	CP000393.1	402783	403595	-	813	33	88	67	26	65	36	53
Tery_0260	CP000393.1	404593	405453	-	861	777	1441	1350	637	991	1363	741
Tery_0262	CP000393.1	407544	407945	-	402	4450	11301	8558	2449	4723	10587	5730
Tery_0263	CP000393.1	408165	408737	-	573	858	2768	2689	549	1292	2418	1561
Tery_0264	CP000393.1	409830	410546	-	717	1606	3309	2605	1476	2901	2907	1691
Tery_0265	CP000393.1	410674	411099	-	426	982	2183	1938	938	2134	2080	1259
Tery_0266	CP000393.1	411099	411773	-	675	1823	3001	2530	1854	3256	3441	1868
Tery_0267	CP000393.1	411770	411994	-	225	341	732	551	353	686	736	458
Tery_R0004	CP000393.1	412296	412368	-	73	188	401	407	202	426	283	273
Tery_0268	CP000393.1	412469	412852	-	384	1923	3569	2791	1509	2652	3350	1923
Tery_0269	CP000393.1	413407	415158	+	1752	624	958	805	550	779	949	557
Tery_0270	CP000393.1	415937	417622	+	1686	2086	5117	4103	1900	2105	8357	2990
Tery_0271	CP000393.1	417849	420950	+	3102	43	59	74	65	71	113	28
Tery_0273	CP000393.1	422371	423588	+	1218	24	53	45	17	49	35	38
Tery_0274	CP000393.1	423919	424896	+	978	52	116	92	52	113	125	65
Tery_0275	CP000393.1	425178	426698	-	1521	458	467	648	108	162	343	270
Tery_0276	CP000393.1	427229	427843	-	615	546	629	736	99	239	320	237
Tery_0277	CP000393.1	428293	429981	-	1689	1670	1942	2148	321	647	1033	851
Tery_0278	CP000393.1	430086	430994	-	909	611	748	1016	83	223	321	371
Tery_0279	CP000393.1	431013	431618	-	606	382	486	663	71	147	242	284
Tery_0280	CP000393.1	431615	432115	-	501	883	1175	1236	154	314	490	467
Tery_0281	CP000393.1	433208	434281	-	1074	127	332	294	111	209	203	187
Tery_0283	CP000393.1	436168	437337	+	1170	1953	2521	2821	1089	1493	3054	1379
Tery_0284	CP000393.1	438503	439606	-	1104	25	54	60	21	38	35	22
Tery_0286	CP000393.1	440975	442579	+	1605	547	775	797	586	970	919	589
Tery_0287	CP000393.1	442807	443091	-	285	4	3	8	3	0	5	0
Tery_0288	CP000393.1	443535	444284	+	750	62	86	71	35	59	90	43
Tery_0289	CP000393.1	444560	444925	+	366	8	5	4	2	10	6	5
Tery_0290	CP000393.1	445064	445597	+	534	4	3	3	2	1	5	3
Tery_0291	CP000393.1	446241	447479	+	1239	104	212	164	174	241	256	112
Tery_0292	CP000393.1	447471	448331	-	861	82	102	70	79	84	136	42
Tery_0293	CP000393.1	449414	450586	-	1173	405	734	614	258	521	749	517
Tery_0294	CP000393.1	451430	452728	-	1299	60	88	80	35	70	116	47
Tery_0295	CP000393.1	452825	455425	+	2601	950	2162	1639	761	1108	2448	1123
Tery_0296	CP000393.1	455679	455810	-	132	1	2	2	3	2	3	1
Tery_0298	CP000393.1	456754	457272	+	519	20	36	28	23	35	52	19
Tery_0299	CP000393.1	457720	459648	+	1929	228	409	306	205	291	566	211
Tery_0300	CP000393.1	459720	460340	+	621	115	252	271	103	161	315	187
Tery_0301	CP000393.1	460361	460780	+	420	994	2527	1821	808	1942	2701	1168
Tery_0302	CP000393.1	461870	463597	+	1728	901	2210	1660	1228	2245	2356	1093
Tery_0303	CP000393.1	464021	469630	-	5610	107	183	164	97	135	226	107
Tery_0305	CP000393.1	470844	471815	-	972	0	1	0	0	1	0	2
Tery_0306	CP000393.1	471882	474209	-	2328	8	11	3	4	2	7	1
Tery_0308	CP000393.1	475370	476356	-	987	89	222	136	69	138	192	87
Tery_0309	CP000393.1	478266	479129	+	864	273	500	352	350	483	555	283
Tery_0310	CP000393.1	479268	480356	+	1089	203	369	328	267	404	418	234
Tery_0311	CP000393.1	480768	481508	+	741	101	158	140	92	177	128	94
Tery_0313	CP000393.1	484911	486182	-	1272	405	675	504	279	488	725	377
Tery_0314	CP000393.1	486705	488087	-	1383	446	840	683	295	475	936	377
Tery_0316	CP000393.1	488541	489149	-	609	185	305	220	148	298	314	181
Tery_0317	CP000393.1	489261	490346	-	1086	105	225	171	76	177	211	120
Tery_0318	CP000393.1	492550	493929	+	1380	87	125	96	107	131	98	65
Tery_0319	CP000393.1	494912	495502	+	591	35	84	66	20	45	61	33
Tery_0320	CP000393.1	495589	496197	+	609	42	89	66	43	79	47	42
Tery_0321	CP000393.1	497092	497943	+	852	29	43	31	25	41	28	17
Tery_0322	CP000393.1	498095	498529	-	435	1453	2959	2174	1463	2952	2803	1510
Tery_0323	CP000393.1	498617	499183	-	567	157	354	283	94	154	344	170
Tery_0324	CP000393.1	499291	499899	+	609	1239	2263	2267	753	1220	2444	1626
Tery_0325	CP000393.1	500956	501675	+	720	45	41	67	13	35	34	37
Tery_0327	CP000393.1	502599	503360	+	762	10	11	19	7	3	11	10
Tery_0328	CP000393.1	503552	503686	+	135	6	12	9	3	8	3	5
Tery_0329	CP000393.1	503708	503887	+	180	3	9	9	0	3	2	0
Tery_0330	CP000393.1	503895	504053	+	159	8	10	12	2	6	0	7
Tery_0331	CP000393.1	504317	505921	-	1605	679	1237	961	325	572	768	448
Tery_0332	CP000393.1	506652	507881	-	1230	120	176	117	45	62	115	83
Tery_0333	CP000393.1	509153	510514	+	1362	349	589	514	244	388	591	296
Tery_0334	CP000393.1	510841	512151	+	1311	159	303	237	111	215	231	147
Tery_0335	CP000393.1	513120	513839	-	720	13201	28347	22334	9718	14098	37019	14724
Tery_0336	CP000393.1	515297	516334	+	1038	20	33	29	10	22	18	26
Tery_0337	CP000393.1	516434	517675	-	1242	336	491	435	256	512	441	264
Tery_0339	CP000393.1	520009	522129	+	2121	1083	1537	1601	1103	1714	1547	1089
Tery_0340	CP000393.1	522487	523410	-	924	150	325	260	145	318	257	175
Tery_0341	CP000393.1	523930	524292	-	363	186	524	339	157	245	435	269
Tery_0342	CP000393.1	525128	532096	+	6969	437	523	513	389	656	549	340
Tery_0345	CP000393.1	534200	535810	+	1611	35	58	50	57	45	60	42
Tery_0346	CP000393.1	536247	536486	-	240	20	16	14	14	14	22	18
Tery_0347	CP000393.1	536956	538086	-	1131	605	1068	929	490	801	997	600
Tery_0348	CP000393.1	538091	539179	-	1089	643	1226	1271	517	1213	713	938
Tery_0349	CP000393.1	540346	541866	-	1521	674	1231	1000	578	927	1127	630
Tery_0351	CP000393.1	543311	544138	+	828	106	215	168	68	181	145	93
Tery_0352	CP000393.1	544282	545463	-	1182	63	89	78	50	90	82	31
Tery_0353	CP000393.1	546691	547593	+	903	3	6	6	6	3	6	4
Tery_0355	CP000393.1	548063	548857	+	795	41	69	46	20	23	79	33
Tery_0356	CP000393.1	549606	550889	+	1284	46	90	55	61	98	112	54
Tery_0357	CP000393.1	551119	551400	-	282	81	205	126	88	135	122	101
Tery_0358	CP000393.1	551450	551788	-	339	38	83	57	47	66	81	38
Tery_0359	CP000393.1	551971	553365	+	1395	27	51	64	48	68	63	33
Tery_0360	CP000393.1	553419	553976	+	558	205	369	267	255	376	451	168
Tery_0361	CP000393.1	554156	554713	-	558	8	28	14	4	18	16	9
Tery_0362	CP000393.1	555242	555889	-	648	57	145	91	62	129	88	70
Tery_0363	CP000393.1	556288	561606	+	5319	644	842	571	734	841	855	483
Tery_0364	CP000393.1	562495	563130	-	636	31	40	38	16	18	30	24
Tery_0365	CP000393.1	563584	564342	+	759	65	100	128	62	91	73	75
Tery_0366	CP000393.1	564791	565687	+	897	326	670	502	259	375	735	330
Tery_0367	CP000393.1	565744	566562	+	819	274	615	512	220	578	366	356
Tery_0368	CP000393.1	566682	567677	+	996	106	217	177	71	144	160	108
Tery_0369	CP000393.1	568161	568865	-	705	230	486	514	146	308	548	362
Tery_0370	CP000393.1	569567	570250	-	684	35	53	60	47	54	43	50
Tery_0371	CP000393.1	570659	571606	-	948	112	166	154	74	156	147	79
Tery_R0005	CP000393.1	572149	572221	-	73	2042	1108	3940	1724	2456	999	10557
Tery_0372	CP000393.1	572415	573554	-	1140	191	341	244	228	403	317	147
Tery_0373	CP000393.1	573749	574606	-	858	1072	2351	1594	946	1631	2454	1047
Tery_0375	CP000393.1	577302	578246	-	945	134	200	124	113	153	207	76
Tery_0376	CP000393.1	578538	580040	-	1503	102	162	121	108	136	191	101
Tery_0377	CP000393.1	581688	583043	+	1356	212	270	305	178	183	444	178
Tery_0378	CP000393.1	583692	585479	+	1788	127	178	146	110	199	182	131
Tery_0379	CP000393.1	585492	588713	+	3222	119	151	154	120	128	178	111
Tery_0380	CP000393.1	588749	591631	+	2883	116	201	196	83	144	212	124
Tery_0381	CP000393.1	591650	592441	-	792	56	92	103	45	66	84	58
Tery_0382	CP000393.1	592556	594907	-	2352	88	178	119	96	132	187	90
Tery_0383	CP000393.1	595024	595416	-	393	35	61	56	45	74	76	31
Tery_0384	CP000393.1	595539	596810	-	1272	94	138	84	71	87	160	58
Tery_0385	CP000393.1	597558	598646	+	1089	83	121	142	94	148	101	105
Tery_0386	CP000393.1	599368	599778	+	411	35	60	49	37	37	84	35
Tery_0387	CP000393.1	600305	603121	+	2817	32	32	32	47	47	78	29
Tery_0388	CP000393.1	603425	603682	+	258	1	5	3	5	3	7	2
Tery_0389	CP000393.1	603834	605684	+	1851	13	17	26	8	13	20	15
Tery_0390	CP000393.1	605999	606187	-	189	3	0	0	2	0	0	1
Tery_0391	CP000393.1	606398	606628	-	231	0	13	4	5	1	2	3
Tery_0392	CP000393.1	606874	607626	+	753	98	162	89	107	137	161	79
Tery_0393	CP000393.1	608237	608632	+	396	5	15	19	2	19	13	9
Tery_0394	CP000393.1	609071	609604	-	534	618	609	604	658	606	912	437
Tery_0397	CP000393.1	612482	618103	-	5622	21412	29412	43661	21480	33530	33149	30604
Tery_0398	CP000393.1	620588	621844	+	1257	2943	7085	6153	2648	4580	7956	3739
Tery_0399	CP000393.1	622277	623410	+	1134	535	825	818	439	655	845	490
Tery_0400	CP000393.1	623997	626591	+	2595	1433	2482	2372	1181	2579	1436	1492
Tery_0401	CP000393.1	627137	627862	+	726	242	571	478	189	347	496	275
Tery_0402	CP000393.1	628071	628838	+	768	213	446	395	140	216	584	236
Tery_0404	CP000393.1	631426	633651	+	2226	85	154	116	73	125	195	102
Tery_0405	CP000393.1	634051	636180	-	2130	55	52	69	60	59	86	38
Tery_0406	CP000393.1	637017	637871	+	855	12	26	18	9	18	18	6
Tery_0407	CP000393.1	638761	639687	+	927	94	171	140	133	150	172	90
Tery_0409	CP000393.1	641535	642221	-	687	399	958	922	1641	2691	3411	994
Tery_0410	CP000393.1	644189	644608	-	420	1	3	2	2	1	4	1
